Date,Close Price,Percentage Change
2023-11-20,46.7,1.19%
2023-11-06,43.78,-2.19%
2023-10-23,42.26,-5.25%
2023-10-09,46.53,0.98%
2023-09-25,46.65,-4.80%
2023-09-11,49.01,1.93%
2023-08-28,48.5,-0.35%
2023-08-14,48.98,-3.35%
2023-07-31,52.36,-2.57%
2023-07-17,54.0,0.45%
2023-07-03,50.16,-4.64%
2023-06-19,51.63,-5.61%
2023-06-05,53.84,4.25%
2023-05-22,51.93,1.38%
2023-05-08,50.01,2.90%
2023-04-24,48.14,-0.55%
2023-04-10,50.98,2.45%
2023-03-27,50.46,4.13%
2023-03-13,48.73,-11.35%
2023-02-27,54.62,7.83%
2023-02-13,53.02,0.87%
2023-01-30,54.81,6.13%
2023-01-16,52.29,-0.40%
2023-01-02,52.35,7.14%
2022-12-19,48.12,-2.89%
2022-12-05,54.01,-3.05%
2022-11-21,55.94,-0.44%
2022-11-07,56.99,4.48%
2022-10-24,54.37,-0.87%
2022-10-10,54.34,-5.22%
2022-09-26,55.46,-17.17%
2022-09-12,63.76,0.03%
2022-08-29,69.42,8.37%
2022-08-15,64.62,-3.31%
2022-08-01,68.94,2.70%
2022-07-18,65.78,2.22%
2022-07-04,64.6,7.63%
2022-06-20,61.79,-4.00%
2022-06-06,69.33,-8.23%
2022-05-23,69.92,5.98%
2022-05-09,70.45,-1.72%
2022-04-25,73.31,-4.65%
2022-04-11,74.88,-2.26%
2022-03-28,81.31,5.35%
2022-03-14,75.72,12.70%
2022-02-28,67.56,-19.80%
2022-02-14,77.62,-4.12%
2022-01-31,72.74,-3.69%
2022-01-17,78.6,-3.81%
2022-01-03,83.13,8.10%
2021-12-20,77.9,0.60%
2021-12-06,77.49,13.38%
2021-11-22,68.9,-8.94%
2021-11-08,77.7,-5.05%
2021-10-25,82.78,1.61%
2021-10-11,83.17,7.33%
2021-09-27,78.95,1.61%
2021-09-13,76.87,-3.18%
2021-08-30,80.74,1.93%
2021-08-16,75.5,-9.54%
2021-08-02,83.89,2.16%
2021-07-19,83.22,1.89%
2021-07-05,83.58,1.60%
2021-06-21,85.7,3.39%
2021-06-07,88.54,-1.32%
2021-05-24,82.19,6.26%
2021-05-10,76.99,-2.19%
2021-04-26,78.79,-5.42%
2021-04-12,88.67,3.29%
2021-03-29,84.33,6.74%
2021-03-15,77.67,12.42%
2021-03-01,67.8,13.53%
2021-02-15,58.42,7.73%
2021-02-01,54.81,5.95%
2021-01-18,54.03,5.33%
2021-01-04,50.11,-1.24%
2020-12-21,51.66,0.07%
2020-12-07,48.58,-3.36%
2020-11-23,49.48,-2.45%
2020-11-09,49.34,9.70%
2020-10-26,41.38,-8.26%
2020-10-12,44.86,4.90%
2020-09-28,43.16,2.62%
2020-09-14,43.76,-6.85%
2020-08-31,44.96,0.54%
2020-08-17,44.02,-1.95%
2020-08-03,45.08,9.00%
2020-07-20,46.22,-1.10%
2020-07-06,46.37,2.86%
2020-06-22,43.52,-2.05%
2020-06-08,43.1,-9.14%
2020-05-25,42.06,12.72%
2020-05-11,34.04,-9.64%
2020-04-27,36.89,9.08%
2020-04-13,35.01,-1.29%
2020-03-30,28.4,-6.54%
2020-03-16,27.01,-15.05%
2020-03-02,43.86,-2.77%
2020-02-17,50.83,-2.43%
2020-02-03,50.88,3.83%
2020-01-20,53.36,-1.71%
2020-01-06,55.99,4.24%
2019-12-23,53.86,-0.50%
2019-12-09,55.21,2.07%
2019-11-25,53.84,-0.09%
