Date,Close Price,Percentage Change
2023-11-20,139.92,1.97%
2023-11-06,134.86,4.32%
2023-10-23,125.02,0.89%
2023-10-09,122.18,-1.12%
2023-09-25,122.82,-1.79%
2023-09-11,127.22,-3.24%
2023-08-28,128.2,1.62%
2023-08-14,124.18,-0.81%
2023-07-31,121.56,-1.63%
2023-07-17,121.08,-5.94%
2023-07-03,121.44,-2.96%
2023-06-19,122.58,-3.13%
2023-06-05,123.2,-0.93%
2023-05-22,122.64,-1.48%
2023-05-08,119.25,-0.74%
2023-04-24,120.8,0.99%
2023-04-10,114.02,-0.89%
2023-03-27,114.11,1.82%
2023-03-13,109.71,1.00%
2023-02-27,107.55,2.30%
2023-02-13,107.64,-0.13%
2023-01-30,110.4,6.93%
2023-01-16,105.19,-0.61%
2023-01-02,100.62,6.17%
2022-12-19,95.75,-2.08%
2022-12-05,100.62,-3.87%
2022-11-21,104.24,0.82%
2022-11-07,104.2,10.12%
2022-10-24,96.1,6.94%
2022-10-10,86.44,1.36%
2022-09-26,82.71,3.77%
2022-09-12,82.27,-3.37%
2022-08-29,83.89,0.04%
2022-08-15,89.77,-1.86%
2022-08-01,90.68,1.71%
2022-07-18,90.52,5.54%
2022-07-04,88.1,3.34%
2022-06-20,90.78,3.72%
2022-06-06,87.54,-4.89%
2022-05-23,90.06,0.09%
2022-05-09,91.33,-1.91%
2022-04-25,95.4,-0.01%
2022-04-11,95.01,-3.25%
2022-03-28,97.54,-1.10%
2022-03-14,101.4,4.14%
2022-02-28,94.63,-4.57%
2022-02-14,100.0,-4.87%
2022-01-31,106.76,0.92%
2022-01-17,118.52,0.60%
2022-01-03,118.6,-2.90%
2021-12-20,120.79,0.00%
2021-12-06,116.74,4.57%
2021-11-22,112.67,-8.47%
2021-11-08,122.33,-3.01%
2021-10-25,122.55,3.33%
2021-10-11,123.48,7.53%
2021-09-27,113.69,-4.11%
2021-09-13,119.38,-0.91%
2021-08-30,122.82,-0.13%
2021-08-16,123.5,0.65%
2021-08-02,122.08,3.31%
2021-07-19,115.19,-6.11%
2021-07-05,121.96,4.54%
2021-06-21,115.08,-0.44%
2021-06-07,115.72,3.08%
2021-05-24,112.57,0.21%
2021-05-10,109.68,-2.83%
2021-04-26,112.3,-2.23%
2021-04-12,111.78,3.49%
2021-03-29,102.7,3.79%
2021-03-15,99.64,0.54%
2021-03-01,97.89,-0.27%
2021-02-15,100.93,-3.33%
2021-02-01,104.34,3.51%
2021-01-18,100.7,1.14%
2021-01-04,102.12,-0.97%
2020-12-21,99.8,-0.48%
2020-12-07,95.94,-2.95%
2020-11-23,96.31,1.36%
2020-11-09,97.35,4.08%
2020-10-26,87.99,-26.75%
2020-10-12,127.76,-0.17%
2020-09-28,127.69,2.15%
2020-09-14,130.32,0.00%
2020-08-31,127.78,-4.94%
2020-08-17,130.61,0.41%
2020-08-03,131.98,2.57%
2020-07-20,130.46,-0.19%
2020-07-06,129.88,5.85%
2020-06-22,117.45,-1.10%
2020-06-08,110.89,-4.82%
2020-05-25,109.16,8.24%
2020-05-11,98.35,-3.71%
2020-04-27,103.28,2.12%
2020-04-13,107.18,2.78%
2020-03-30,92.29,-2.52%
2020-03-16,86.51,-1.52%
2020-03-02,101.93,-3.62%
2020-02-17,119.6,-0.77%
2020-02-03,117.63,5.31%
2020-01-20,120.3,0.75%
2020-01-06,117.32,2.74%
2019-12-23,115.09,0.38%
2019-12-09,117.7,1.60%
2019-11-25,117.06,0.55%
