Date,Close Price,Percentage Change
2023-11-20,250.45,-1.04%
2023-11-06,239.68,-0.44%
2023-10-23,238.56,-3.78%
2023-10-09,266.56,0.71%
2023-09-25,271.6,-0.02%
2023-09-11,277.71,-1.11%
2023-08-28,284.78,5.02%
2023-08-14,272.39,-4.00%
2023-07-31,275.02,6.15%
2023-07-17,255.06,0.79%
2023-07-03,242.72,-0.35%
2023-06-19,232.09,-4.42%
2023-06-05,232.67,3.71%
2023-05-22,209.67,-1.39%
2023-05-08,207.44,-2.58%
2023-04-24,216.6,-0.13%
2023-04-10,220.24,6.94%
2023-03-27,225.32,5.45%
2023-03-13,211.7,-5.29%
2023-02-27,251.38,8.10%
2023-02-13,243.98,0.05%
2023-01-30,243.95,-6.34%
2023-01-16,244.7,-3.39%
2023-01-02,243.87,3.88%
2022-12-19,235.06,3.07%
2022-12-05,222.73,-3.74%
2022-11-21,230.97,1.85%
2022-11-07,231.75,3.79%
2022-10-24,214.94,16.08%
2022-10-10,173.45,0.36%
2022-09-26,159.72,-0.10%
2022-09-12,174.7,-5.29%
2022-08-29,176.02,-5.78%
2022-08-15,190.4,-0.63%
2022-08-01,180.46,-6.49%
2022-07-18,172.67,3.02%
2022-07-04,173.13,0.45%
2022-06-20,179.31,-3.71%
2022-06-06,208.01,-3.46%
2022-05-23,209.91,9.77%
2022-05-09,197.52,-4.81%
2022-04-25,203.53,-2.20%
2022-04-11,219.17,4.97%
2022-03-28,211.44,-1.61%
2022-03-14,212.53,2.83%
2022-02-28,188.24,4.60%
2022-02-14,184.67,-4.62%
2022-01-31,190.89,-1.37%
2022-01-17,204.98,-6.49%
2022-01-03,214.65,8.44%
2021-12-20,197.42,2.40%
2021-12-06,194.8,2.86%
2021-11-22,190.27,-0.85%
2021-11-08,200.36,1.65%
2021-10-25,195.33,2.24%
2021-10-11,189.5,1.98%
2021-09-27,185.04,-1.27%
2021-09-13,190.2,-2.57%
2021-08-30,200.31,-1.16%
2021-08-16,195.14,-6.24%
2021-08-02,198.39,0.77%
2021-07-19,198.44,0.76%
2021-07-05,205.92,-0.16%
2021-06-21,204.87,3.57%
2021-06-07,209.02,-9.56%
2021-05-24,228.33,1.62%
2021-05-10,229.41,0.51%
2021-04-26,216.04,-0.42%
2021-04-12,220.02,1.13%
2021-03-29,219.43,1.41%
2021-03-15,212.41,-1.62%
2021-03-01,207.57,1.98%
2021-02-15,197.91,6.02%
2021-02-01,181.97,5.56%
2021-01-18,180.01,-1.38%
2021-01-04,182.19,6.72%
2020-12-21,168.4,-0.77%
2020-12-07,168.15,-1.60%
2020-11-23,164.2,1.65%
2020-11-09,161.04,6.46%
2020-10-26,147.29,-6.28%
2020-10-12,157.3,6.17%
2020-09-28,139.77,2.76%
2020-09-14,142.05,-0.94%
2020-08-31,138.13,3.17%
2020-08-17,129.04,-1.09%
2020-08-03,125.77,1.54%
2020-07-20,128.24,1.25%
2020-07-06,118.44,0.23%
2020-06-22,113.24,-3.98%
2020-06-08,113.94,-8.86%
2020-05-25,111.15,6.81%
2020-05-11,99.85,-3.74%
2020-04-27,102.59,-2.77%
2020-04-13,106.62,-6.98%
2020-03-30,105.13,8.75%
2020-03-16,87.55,-4.15%
2020-03-02,111.31,-2.28%
2020-02-17,125.79,-0.57%
2020-02-03,122.27,1.54%
2020-01-20,128.7,-4.34%
2020-01-06,133.04,-1.56%
2019-12-23,135.0,0.48%
2019-12-09,132.49,1.97%
2019-11-25,131.76,0.59%
