Date,Close Price,Percentage Change
2023-11-20,474.47,1.84%
2023-11-06,447.24,3.44%
2023-10-23,397.87,-0.77%
2023-10-09,355.68,-6.77%
2023-09-25,377.6,-0.58%
2023-09-11,396.94,-10.36%
2023-08-28,439.88,5.73%
2023-08-14,404.53,-4.06%
2023-07-31,431.6,1.37%
2023-07-17,427.5,-3.26%
2023-07-03,438.1,-0.54%
2023-06-19,424.02,-1.84%
2023-06-05,420.02,4.88%
2023-05-22,378.88,3.70%
2023-05-08,339.89,5.31%
2023-04-24,329.93,0.59%
2023-04-10,338.63,-0.21%
2023-03-27,345.48,5.20%
2023-03-13,303.5,3.67%
2023-02-27,315.18,-0.62%
2023-02-13,347.96,0.17%
2023-01-30,365.9,1.42%
2023-01-16,342.5,2.91%
2023-01-02,315.55,7.01%
2022-12-19,294.96,1.46%
2022-12-05,320.01,-0.12%
2022-11-21,285.54,-0.85%
2022-11-07,290.13,11.25%
2022-10-24,295.72,2.12%
2022-10-10,230.0,2.34%
2022-09-26,235.44,3.99%
2022-09-12,240.13,2.81%
2022-08-29,226.11,1.27%
2022-08-15,241.16,-3.27%
2022-08-01,226.78,0.84%
2022-07-18,220.44,16.57%
2022-07-04,186.98,3.91%
2022-06-20,190.85,8.74%
2022-06-06,182.94,-8.06%
2022-05-23,195.19,4.74%
2022-05-09,187.64,3.69%
2022-04-25,190.36,-11.67%
2022-04-11,341.13,-4.14%
2022-03-28,373.47,-0.10%
2022-03-14,380.6,11.84%
2022-02-28,361.73,-7.44%
2022-02-14,391.29,-0.01%
2022-01-31,410.17,6.72%
2022-01-17,397.5,-24.39%
2022-01-03,541.06,-10.19%
2021-12-20,614.09,4.66%
2021-12-06,611.66,1.58%
2021-11-22,665.64,-1.94%
2021-11-08,682.61,5.71%
2021-10-25,690.31,3.84%
2021-10-11,628.29,-0.69%
2021-09-27,613.15,3.50%
2021-09-13,589.35,-1.57%
2021-08-30,590.53,5.66%
2021-08-16,546.88,6.00%
2021-08-02,520.55,0.58%
2021-07-19,515.41,-2.81%
2021-07-05,535.98,0.37%
2021-06-21,527.07,5.25%
2021-06-07,488.77,-1.21%
2021-05-24,502.81,0.99%
2021-05-10,493.37,-2.08%
2021-04-26,513.47,1.57%
2021-04-12,546.54,-1.58%
2021-03-29,539.42,6.17%
2021-03-15,512.18,-1.13%
2021-03-01,516.39,-4.17%
2021-02-15,540.22,-2.93%
2021-02-01,550.79,3.46%
2021-01-18,565.17,13.49%
2021-01-04,510.4,-5.61%
2020-12-21,513.97,-3.83%
2020-12-07,503.22,0.99%
2020-11-23,491.36,0.64%
2020-11-09,482.84,-6.20%
2020-10-26,475.74,-2.57%
2020-10-12,530.79,-1.60%
2020-09-28,503.06,4.18%
2020-09-14,469.96,-2.50%
2020-08-31,516.05,-1.50%
2020-08-17,492.31,2.00%
2020-08-03,494.73,1.20%
2020-07-20,480.45,-2.54%
2020-07-06,548.73,15.06%
2020-06-22,443.4,-2.27%
2020-06-08,418.07,-0.36%
2020-05-25,419.73,-2.23%
2020-05-11,454.19,4.28%
2020-04-27,415.27,-2.29%
2020-04-13,422.96,14.09%
2020-03-30,361.76,1.30%
2020-03-16,332.83,-1.03%
2020-03-02,368.97,-0.02%
2020-02-17,380.07,-0.09%
2020-02-03,366.77,6.28%
2020-01-20,353.16,3.97%
2020-01-06,329.05,0.97%
2019-12-23,329.09,-2.32%
2019-12-09,298.5,-2.88%
2019-11-25,314.66,1.35%
