Date,Close Price,Percentage Change
2023-11-20,95.03,0.93%
2023-11-06,88.27,3.76%
2023-10-23,79.33,-4.02%
2023-10-09,84.35,1.70%
2023-09-25,81.05,-0.25%
2023-09-11,85.58,4.90%
2023-08-28,81.64,-2.06%
2023-08-14,85.96,-3.44%
2023-07-31,86.3,0.20%
2023-07-17,87.18,-1.62%
2023-07-03,88.64,-0.72%
2023-06-19,88.1,-3.53%
2023-06-05,91.93,1.28%
2023-05-22,88.29,-3.35%
2023-05-08,91.99,-8.49%
2023-04-24,102.5,2.94%
2023-04-10,99.9,-0.07%
2023-03-27,100.13,6.43%
2023-03-13,93.2,-0.40%
2023-02-27,101.14,0.84%
2023-02-13,105.22,-2.63%
2023-01-30,110.71,1.07%
2023-01-16,103.48,4.10%
2023-01-02,93.92,8.10%
2022-12-19,88.01,-2.30%
2022-12-05,93.38,-6.08%
2022-11-21,98.87,7.70%
2022-11-07,95.01,-4.59%
2022-10-24,105.95,3.83%
2022-10-10,94.45,-2.79%
2022-09-26,94.33,-5.20%
2022-09-12,108.25,-6.02%
2022-08-29,111.2,-2.52%
2022-08-15,120.14,-1.18%
2022-08-01,106.63,0.50%
2022-07-18,102.72,7.90%
2022-07-04,95.86,-0.29%
2022-06-20,97.78,3.65%
2022-06-06,99.4,-8.53%
2022-05-23,109.32,6.74%
2022-05-09,107.33,-2.68%
2022-04-25,111.63,-5.61%
2022-04-11,130.47,-1.06%
2022-03-28,137.0,-1.54%
2022-03-14,140.3,6.49%
2022-02-28,140.72,-5.89%
2022-02-14,151.36,1.26%
2022-01-31,142.02,2.45%
2022-01-17,137.38,-9.58%
2022-01-03,157.83,1.90%
2021-12-20,153.63,3.27%
2021-12-06,152.71,4.44%
2021-11-22,148.11,-3.82%
2021-11-08,159.63,-9.11%
2021-10-25,169.07,-0.21%
2021-10-11,176.46,-0.16%
2021-09-27,176.01,0.01%
2021-09-13,183.47,-0.35%
2021-08-30,181.0,0.48%
2021-08-16,175.12,-3.29%
2021-08-02,177.13,0.63%
2021-07-19,176.14,-1.77%
2021-07-05,177.04,-0.04%
2021-06-21,178.35,3.44%
2021-06-07,177.38,0.11%
2021-05-24,178.65,3.63%
2021-05-10,173.7,-6.03%
2021-04-26,186.02,1.64%
2021-04-12,187.26,-0.34%
2021-03-29,188.97,1.64%
2021-03-15,191.14,-3.05%
2021-03-01,189.99,0.50%
2021-02-15,183.65,-2.14%
2021-02-01,181.16,7.72%
2021-01-18,172.78,0.78%
2021-01-04,178.69,-1.37%
2020-12-21,173.73,0.49%
2020-12-07,175.72,14.00%
2020-11-23,147.13,4.30%
2020-11-09,138.36,8.55%
2020-10-26,121.25,-5.53%
2020-10-12,126.81,1.46%
2020-09-28,122.55,-1.17%
2020-09-14,128.63,-2.37%
2020-08-31,131.99,-2.62%
2020-08-17,127.44,-2.37%
2020-08-03,129.93,11.11%
2020-07-20,117.61,-0.88%
2020-07-06,119.34,6.38%
2020-06-22,109.1,-4.59%
2020-06-08,115.49,-7.47%
2020-05-25,117.3,-0.61%
2020-05-11,109.05,-0.10%
2020-04-27,105.5,4.26%
2020-04-13,106.63,2.04%
2020-03-30,93.88,-2.61%
2020-03-16,85.98,-16.13%
2020-03-02,115.27,-2.02%
2020-02-17,138.97,-0.41%
2020-02-03,141.02,1.96%
2020-01-20,140.08,-2.94%
2020-01-06,144.62,-1.28%
2019-12-23,145.75,-0.77%
2019-12-09,145.51,-0.87%
2019-11-25,150.68,2.22%
