Date,Close Price,Percentage Change
2023-11-20,50400.0,-1.75%
2023-11-06,50200.0,-1.38%
2023-10-23,51700.0,-0.39%
2023-10-09,52500.0,-4.20%
2023-09-25,54000.0,-3.57%
2023-09-11,56100.0,-3.28%
2023-08-24,54000.0,-3.57%
2023-08-10,56400.0,-2.59%
2023-07-27,56500.0,-5.83%
2023-07-13,59300.0,-2.79%
2023-06-29,58200.0,884.77%
2023-06-15,54650.0,1.99%
2023-06-01,54844.0,3.66%
2023-05-18,50781.0,-1.87%
2023-05-04,51265.0,4.33%
2023-04-17,50297.0,0.00%
2023-04-03,47976.0,0.81%
2023-03-20,47396.0,-3.73%
2023-03-06,49233.0,-1.55%
2023-02-20,50201.0,6.46%
2023-02-06,50297.0,-5.45%
2023-01-16,54650.0,10.14%
2022-12-30,49330.0,6.23%
2022-12-16,50002.0,13.40%
2022-12-02,44655.0,0.64%
2022-11-18,40433.0,0.23%
2022-11-04,48126.0,-6.73%
2022-10-21,49627.0,-3.82%
2022-10-07,50565.0,-1.28%
2022-09-23,60884.0,-0.76%
2022-09-09,64262.0,15.91%
2022-08-24,54036.0,6.67%
2022-08-10,51034.0,-0.91%
2022-07-27,46906.0,-1.96%
2022-07-13,46437.0,7.38%
2022-06-29,46343.0,12.40%
2022-06-15,42309.0,-4.45%
2022-06-01,41934.0,5.05%
2022-05-18,39671.0,-2.67%
2022-05-04,43113.0,10.83%
2022-04-18,43611.0,2.89%
2022-04-01,41890.0,2.78%
2022-03-18,42343.0,-0.95%
2022-03-04,40169.0,1.95%
2022-02-18,39671.0,0.69%
2022-01-28,37724.0,2.59%
2022-01-14,37814.0,-0.48%
2021-12-30,40483.0,0.44%
2021-12-16,41289.0,1.54%
2021-12-02,43215.0,1.90%
2021-11-18,39767.0,1.14%
2021-11-04,38961.0,1.87%
2021-10-21,38513.0,-0.92%
2021-10-07,39856.0,7.36%
2021-09-23,38065.0,2.16%
2021-09-09,39229.0,1.15%
2021-08-24,37528.0,-7.50%
2021-08-10,35736.0,5.28%
2021-07-27,33676.0,4.58%
2021-07-13,31858.0,-3.89%
2021-06-29,32719.0,-2.94%
2021-06-15,31944.0,-1.33%
2021-06-01,32030.0,0.54%
2021-05-18,30093.0,-1.27%
2021-05-04,31427.0,0.00%
2021-04-15,32288.0,-1.45%
2021-04-01,33149.0,0.26%
2021-03-18,33580.0,-0.64%
2021-03-04,34441.0,3.36%
2021-02-18,34699.0,2.54%
2021-01-28,32116.0,-8.13%
2021-01-14,36292.0,0.86%
2020-12-30,32788.0,901.47%
2020-12-16,33124.0,-1.13%
2020-12-02,32998.0,5.23%
2020-11-18,30518.0,2.98%
2020-11-04,29425.0,2.64%
2020-10-21,29509.0,-3.84%
2020-10-07,30728.0,3.84%
2020-09-17,29509.0,-1.13%
2020-09-03,30097.0,2.87%
2020-08-13,29887.0,4.56%
2020-07-30,28290.0,-10.03%
2020-07-16,32170.0,8.30%
2020-07-02,29099.0,7.46%
2020-06-18,26189.0,-1.52%
2020-06-04,26593.0,2.81%
2020-05-21,26593.0,-3.80%
2020-05-07,25340.0,0.32%
2020-04-21,24491.0,3.24%
2020-04-07,23845.0,9.47%
2020-03-23,24451.0,-4.87%
2020-03-09,29099.0,-4.01%
2020-02-18,30556.0,-1.54%
2020-02-04,31593.0,0.25%
2020-01-14,31513.0,-0.75%
2019-12-30,31912.0,0.00%
2019-12-16,32710.0,-3.28%
2019-12-02,31404.0,-1.71%
