Date,Close Price,Percentage Change
2023-11-20,42700.0,-4.69%
2023-11-06,42100.0,1.45%
2023-10-23,43400.0,-3.56%
2023-10-09,45200.0,-3.62%
2023-09-25,46500.0,-12.26%
2023-09-11,59100.0,-4.83%
2023-08-24,64200.0,-10.71%
2023-08-10,67900.0,16.67%
2023-07-27,51100.0,-1.73%
2023-07-13,51500.0,2.18%
2023-06-29,51800.0,-1.15%
2023-06-15,53500.0,2.10%
2023-06-01,52000.0,-1.14%
2023-05-18,53200.0,5.35%
2023-05-04,51300.0,-2.47%
2023-04-17,52900.0,-1.67%
2023-04-03,58000.0,8.82%
2023-03-20,52800.0,-0.94%
2023-03-06,52600.0,0.19%
2023-02-20,54100.0,1.31%
2023-02-06,56000.0,-2.95%
2023-01-16,54800.0,-0.36%
2022-12-30,53800.0,-2.36%
2022-12-16,58400.0,-13.86%
2022-12-02,68800.0,5.85%
2022-11-18,65600.0,20.81%
2022-11-04,54300.0,-2.51%
2022-10-21,56800.0,-4.86%
2022-10-07,60200.0,9.45%
2022-09-23,62600.0,0.16%
2022-09-09,64400.0,1.10%
2022-08-24,64900.0,-3.57%
2022-08-10,64800.0,-1.82%
2022-07-27,66500.0,-2.49%
2022-07-13,69500.0,2.96%
2022-06-29,73400.0,-2.13%
2022-06-15,76700.0,-1.79%
2022-06-01,79300.0,2.06%
2022-05-18,78000.0,-3.11%
2022-05-04,79700.0,4.59%
2022-04-18,79500.0,-2.69%
2022-04-01,82100.0,1.36%
2022-03-18,78800.0,-0.25%
2022-03-04,79000.0,-0.13%
2022-02-18,82200.0,0.61%
2022-01-28,97000.0,1.57%
2022-01-14,98900.0,-3.23%
2021-12-30,95000.0,-1.04%
2021-12-16,100000.0,-6.54%
2021-12-02,107200.0,14.04%
2021-11-18,94500.0,-0.32%
2021-11-04,95000.0,0.00%
2021-10-21,91000.0,-1.62%
2021-10-07,88800.0,0.91%
2021-09-23,87100.0,-0.80%
2021-09-09,91300.0,-2.98%
2021-08-24,95400.0,-3.54%
2021-08-10,100444.0,-1.31%
2021-07-27,92711.0,1.26%
2021-07-13,91555.0,-8.04%
2021-06-29,104888.0,0.43%
2021-06-15,108177.0,1.59%
2021-06-01,106666.0,-1.88%
2021-05-18,107555.0,-7.63%
2021-05-04,118755.0,-3.40%
2021-04-15,125244.0,12.36%
2021-04-01,109333.0,11.41%
2021-03-18,94755.0,0.66%
2021-03-04,95022.0,-1.84%
2021-02-18,97777.0,4.76%
2021-01-28,82666.0,-11.51%
2021-01-14,98133.0,0.27%
2020-12-30,96444.0,2.65%
2020-12-16,95111.0,0.94%
2020-12-02,93333.0,-0.57%
2020-11-18,93244.0,-0.85%
2020-11-04,92000.0,3.29%
2020-10-21,86488.0,2.42%
2020-10-07,82222.0,-0.54%
2020-09-17,83555.0,3.87%
2020-09-03,84000.0,9.88%
2020-08-13,78222.0,0.57%
2020-07-30,75644.0,-5.45%
2020-07-16,82666.0,2.20%
2020-07-02,79911.0,-3.75%
2020-06-18,80888.0,-2.15%
2020-06-04,85333.0,-1.03%
2020-05-21,87111.0,2.08%
2020-05-07,85333.0,4.35%
2020-04-21,82666.0,-2.72%
2020-04-07,86488.0,19.53%
2020-03-23,68266.0,-16.97%
2020-03-09,86844.0,-7.31%
2020-02-18,92888.0,-7.85%
2020-02-04,102044.0,-0.09%
2020-01-14,102222.0,0.26%
2019-12-30,102222.0,-0.60%
2019-12-16,102933.0,-0.09%
2019-12-02,102222.0,-0.26%
