Date,Close Price,Percentage Change
2023-11-20,34.01,-17.96%
2023-11-06,40.15,-4.53%
2023-10-23,40.51,-2.33%
2023-10-09,43.56,-1.17%
2023-09-25,45.45,-4.60%
2023-09-11,49.4,-1.57%
2023-08-28,50.87,1.64%
2023-08-14,50.32,-4.28%
2023-07-31,51.62,-1.49%
2023-07-17,51.94,3.24%
2023-07-03,48.76,-3.77%
2023-06-19,50.5,-3.50%
2023-06-05,51.15,-2.78%
2023-05-22,54.4,-0.35%
2023-05-08,53.73,-4.64%
2023-04-24,57.36,-1.53%
2023-04-10,58.9,1.32%
2023-03-27,56.36,5.71%
2023-03-13,53.57,-3.28%
2023-02-27,55.29,-1.74%
2023-02-13,56.75,0.54%
2023-01-30,54.4,1.14%
2023-01-16,54.13,-1.78%
2023-01-02,48.52,4.60%
2022-12-19,46.67,0.12%
2022-12-05,50.76,-3.57%
2022-11-21,53.22,3.09%
2022-11-07,48.17,-6.85%
2022-10-24,50.58,5.40%
2022-10-10,47.03,3.33%
2022-09-26,45.51,-4.36%
2022-09-12,50.19,-1.10%
2022-08-29,50.52,-1.99%
2022-08-15,52.22,0.46%
2022-08-01,51.14,-6.53%
2022-07-18,54.51,2.09%
2022-07-04,55.51,0.84%
2022-06-20,55.47,-7.61%
2022-06-06,61.01,-3.87%
2022-05-23,63.25,3.39%
2022-05-09,57.97,3.05%
2022-04-25,58.45,-4.96%
2022-04-11,62.54,0.69%
2022-03-28,58.57,3.96%
2022-03-14,53.91,4.77%
2022-02-28,47.55,-3.23%
2022-02-14,50.18,-0.22%
2022-01-31,48.9,-0.40%
2022-01-17,47.97,-1.84%
2022-01-03,45.34,3.81%
2021-12-20,43.33,0.21%
2021-12-06,43.32,5.32%
2021-11-22,42.32,-5.39%
2021-11-08,47.2,2.14%
2021-10-25,45.23,0.72%
2021-10-11,44.5,0.28%
2021-09-27,43.25,0.10%
2021-09-13,42.01,-1.23%
2021-08-30,44.12,0.35%
2021-08-16,44.06,-0.80%
2021-08-02,43.7,-6.50%
2021-07-19,47.58,1.05%
2021-07-05,47.24,-1.24%
2021-06-21,48.13,-1.82%
2021-06-07,49.69,1.54%
2021-05-24,48.55,-6.70%
2021-05-10,53.03,5.41%
2021-04-26,48.17,-1.30%
2021-04-12,48.33,1.24%
2021-03-29,47.65,0.04%
2021-03-15,47.8,0.85%
2021-03-01,46.18,2.93%
2021-02-15,48.25,-0.07%
2021-02-01,49.95,11.79%
2021-01-18,46.87,0.21%
2021-01-04,46.1,6.95%
2020-12-21,43.12,-1.77%
2020-12-07,41.57,-2.79%
2020-11-23,44.32,3.37%
2020-11-09,42.69,11.57%
2020-10-26,36.13,-4.87%
2020-10-12,40.11,-4.11%
2020-09-28,40.22,-15.96%
2020-09-14,51.22,3.30%
2020-08-31,48.58,-1.36%
2020-08-17,50.42,-1.11%
2020-08-03,50.1,-0.48%
2020-07-20,54.32,-3.67%
2020-07-06,57.02,-4.47%
2020-06-22,59.78,-3.79%
2020-06-08,58.39,-1.39%
2020-05-25,54.35,5.33%
2020-05-11,50.8,-2.14%
2020-04-27,51.44,1.01%
2020-04-13,50.1,1.91%
2020-03-30,45.36,4.66%
2020-03-16,42.85,4.27%
2020-03-02,54.55,-2.19%
2020-02-17,63.37,-4.24%
2020-02-03,66.4,6.27%
2020-01-20,64.36,0.00%
2020-01-06,64.46,3.83%
2019-12-23,62.62,2.39%
2019-12-09,60.74,2.65%
2019-11-25,58.76,0.25%
