Date,Close Price,Percentage Change
2023-11-20,95.74,0.57%
2023-11-06,91.18,-1.90%
2023-10-23,88.49,-5.42%
2023-10-09,97.76,2.14%
2023-09-25,96.38,-2.91%
2023-09-11,97.51,1.98%
2023-08-28,94.2,-2.39%
2023-08-14,98.25,-1.74%
2023-07-31,104.08,-6.47%
2023-07-17,107.58,0.77%
2023-07-03,107.14,-4.78%
2023-06-19,108.62,-2.77%
2023-06-05,108.08,1.81%
2023-05-22,104.46,1.04%
2023-05-08,91.61,-7.56%
2023-04-24,93.49,0.83%
2023-04-10,95.55,5.13%
2023-03-27,93.02,3.25%
2023-03-13,87.41,-3.54%
2023-02-27,93.52,4.41%
2023-02-13,91.93,2.03%
2023-01-30,89.93,5.66%
2023-01-16,82.92,-1.93%
2023-01-02,82.51,7.38%
2022-12-19,76.95,1.07%
2022-12-05,77.91,-0.84%
2022-11-21,77.38,-0.23%
2022-11-07,77.63,5.56%
2022-10-24,73.32,2.75%
2022-10-10,69.14,4.63%
2022-09-26,64.5,-1.95%
2022-09-12,68.56,1.20%
2022-08-29,69.22,2.72%
2022-08-15,69.87,-3.49%
2022-08-01,70.6,-3.61%
2022-07-18,71.05,2.64%
2022-07-04,70.08,3.09%
2022-06-20,69.06,-3.43%
2022-06-06,74.22,-2.17%
2022-05-23,73.96,3.62%
2022-05-09,64.91,-2.88%
2022-04-25,67.25,-0.87%
2022-04-11,65.31,-0.99%
2022-03-28,67.67,1.43%
2022-03-14,65.02,4.81%
2022-02-28,62.62,-16.95%
2022-02-14,81.7,0.08%
2022-01-31,76.8,-2.97%
2022-01-17,81.86,-3.79%
2022-01-03,81.89,8.03%
2021-12-20,76.38,2.59%
2021-12-06,76.8,2.47%
2021-11-22,73.25,-8.25%
2021-11-08,79.68,1.27%
2021-10-25,74.73,1.81%
2021-10-11,75.0,3.40%
2021-09-27,71.81,2.75%
2021-09-13,68.84,1.53%
2021-08-30,68.01,1.43%
2021-08-16,65.94,-7.35%
2021-08-02,70.34,-2.10%
2021-07-19,73.28,0.06%
2021-07-05,75.11,-2.68%
2021-06-21,79.15,1.59%
2021-06-07,81.15,0.36%
2021-05-24,74.7,2.24%
2021-05-10,70.07,0.05%
2021-04-26,69.83,-3.37%
2021-04-12,74.0,0.43%
2021-03-29,74.25,5.82%
2021-03-15,69.07,6.47%
2021-03-01,63.36,5.83%
2021-02-15,59.94,1.89%
2021-02-01,58.66,0.06%
2021-01-18,59.66,2.65%
2021-01-04,59.02,-2.41%
2020-12-21,61.44,-1.09%
2020-12-07,59.04,-5.92%
2020-11-23,61.2,-1.43%
2020-11-09,59.23,11.26%
2020-10-26,49.14,-8.21%
2020-10-12,52.85,-2.44%
2020-09-28,52.22,5.59%
2020-09-14,53.37,-0.89%
2020-08-31,51.4,2.97%
2020-08-17,47.57,-2.42%
2020-08-03,45.97,0.37%
2020-07-20,50.42,0.82%
2020-07-06,49.14,2.50%
2020-06-22,46.7,-2.04%
2020-06-08,47.02,-5.63%
2020-05-25,44.04,5.03%
2020-05-11,36.99,-9.28%
2020-04-27,42.86,11.08%
2020-04-13,41.16,2.14%
2020-03-30,35.48,-1.68%
2020-03-16,32.8,-8.92%
2020-03-02,45.37,-2.90%
2020-02-17,51.15,-2.05%
2020-02-03,51.29,0.54%
2020-01-20,55.03,-2.32%
2020-01-06,59.12,1.70%
2019-12-23,58.28,-0.86%
2019-12-09,60.16,2.82%
2019-11-25,58.12,-1.04%
