Date,Close Price,Percentage Change
2023-11-20,86.26,-0.42%
2023-11-06,84.52,-0.35%
2023-10-23,75.32,-1.44%
2023-10-09,76.96,-3.56%
2023-09-25,82.82,2.30%
2023-09-11,81.88,-2.69%
2023-08-28,91.52,4.07%
2023-08-14,88.64,-6.54%
2023-07-31,99.32,-4.59%
2023-07-17,102.25,-0.05%
2023-07-03,97.72,-1.33%
2023-06-19,103.85,-6.86%
2023-06-05,109.7,-1.70%
2023-05-22,108.35,-1.81%
2023-05-08,112.45,-6.84%
2023-04-24,121.8,-1.30%
2023-04-10,127.2,0.91%
2023-03-27,128.0,-2.92%
2023-03-13,137.0,1.47%
2023-02-27,132.44,2.45%
2023-02-13,132.39,1.41%
2023-01-30,140.92,7.73%
2023-01-16,130.9,-1.57%
2023-01-02,119.75,2.42%
2022-12-19,115.33,-0.56%
2022-12-05,120.64,-7.91%
2022-11-21,131.85,0.23%
2022-11-07,132.94,11.89%
2022-10-24,118.56,4.78%
2022-10-10,115.19,1.71%
2022-09-26,106.56,1.80%
2022-09-12,112.21,-10.34%
2022-08-29,123.27,-2.55%
2022-08-15,132.14,-4.55%
2022-08-01,134.87,-4.29%
2022-07-18,138.09,5.57%
2022-07-04,126.29,10.02%
2022-06-20,113.2,7.23%
2022-06-06,119.35,-1.55%
2022-05-23,119.35,-2.27%
2022-05-09,109.78,-3.66%
2022-04-25,119.4,-10.95%
2022-04-11,127.93,-9.63%
2022-03-28,146.82,5.30%
2022-03-14,151.46,10.42%
2022-02-28,135.59,2.80%
2022-02-14,130.31,-0.60%
2022-01-31,134.65,-3.29%
2022-01-17,140.02,-3.63%
2022-01-03,167.82,-7.90%
2021-12-20,180.64,-0.60%
2021-12-06,168.56,4.88%
2021-11-22,170.68,-7.60%
2021-11-08,178.37,1.71%
2021-10-25,171.47,2.11%
2021-10-11,164.32,3.00%
2021-09-27,159.64,-14.27%
2021-09-13,192.07,-0.64%
2021-08-30,188.18,2.14%
2021-08-16,183.54,-0.27%
2021-08-02,189.61,2.42%
2021-07-19,181.47,6.72%
2021-07-05,163.88,1.46%
2021-06-21,161.41,3.74%
2021-06-07,151.11,2.78%
2021-05-24,149.18,3.86%
2021-05-10,137.39,-3.58%
2021-04-26,143.97,0.58%
2021-04-12,143.92,4.91%
2021-03-29,128.7,0.61%
2021-03-15,123.29,-0.24%
2021-03-01,119.07,-2.49%
2021-02-15,130.07,-1.05%
2021-02-01,135.87,7.21%
2021-01-18,128.8,11.20%
2021-01-04,111.01,3.76%
2020-12-21,104.82,-2.29%
2020-12-07,106.49,-2.69%
2020-11-23,109.54,-6.22%
2020-11-09,115.83,2.70%
2020-10-26,108.95,-6.57%
2020-10-12,119.76,5.27%
2020-09-28,107.38,4.79%
2020-09-14,99.62,9.15%
2020-08-31,91.86,-1.89%
2020-08-17,90.28,0.05%
2020-08-03,90.66,4.85%
2020-07-20,85.74,-0.57%
2020-07-06,87.69,-2.65%
2020-06-22,85.88,-3.51%
2020-06-08,84.28,-7.25%
2020-05-25,89.84,5.08%
2020-05-11,81.74,-12.07%
2020-04-27,87.74,-3.38%
2020-04-13,90.62,-2.62%
2020-03-30,81.93,0.88%
2020-03-16,75.7,-0.76%
2020-03-02,91.08,-0.63%
2020-02-17,104.68,-0.64%
2020-02-03,111.16,3.98%
2020-01-20,116.29,-0.50%
2020-01-06,113.67,3.62%
2019-12-23,112.51,1.48%
2019-12-09,107.67,7.95%
2019-11-25,107.38,4.13%
