Date,Close Price,Percentage Change
2023-11-20,69.0,0.20%
2023-11-06,63.38,0.99%
2023-10-23,60.26,-0.36%
2023-10-09,63.4,-4.37%
2023-09-25,66.76,2.46%
2023-09-11,67.16,1.67%
2023-08-28,67.34,-0.09%
2023-08-14,65.8,-1.64%
2023-07-31,71.36,-2.30%
2023-07-17,72.26,3.94%
2023-07-03,68.44,-0.96%
2023-06-19,66.82,-7.19%
2023-06-05,68.88,3.30%
2023-05-22,66.98,-2.10%
2023-05-08,66.48,3.81%
2023-04-24,61.92,-3.32%
2023-04-10,66.77,5.36%
2023-03-27,67.29,6.75%
2023-03-13,62.96,-13.47%
2023-02-27,70.77,9.49%
2023-02-13,67.98,1.37%
2023-01-30,68.25,8.20%
2023-01-16,60.46,-8.13%
2023-01-02,62.02,13.47%
2022-12-19,54.83,-0.57%
2022-12-05,55.79,-0.21%
2022-11-21,55.87,0.81%
2022-11-07,60.17,13.69%
2022-10-24,50.66,2.33%
2022-10-10,47.38,1.21%
2022-09-26,44.87,-5.28%
2022-09-12,54.91,-1.95%
2022-08-29,56.9,3.37%
2022-08-15,61.57,-5.94%
2022-08-01,66.47,-1.65%
2022-07-18,68.87,6.98%
2022-07-04,66.2,2.14%
2022-06-20,65.05,-4.31%
2022-06-06,71.9,2.36%
2022-05-23,68.15,4.65%
2022-05-09,63.68,11.44%
2022-04-25,62.31,-0.63%
2022-04-11,59.93,-1.61%
2022-03-28,62.31,1.55%
2022-03-14,63.63,7.79%
2022-02-28,58.72,-21.76%
2022-02-14,82.6,-2.31%
2022-01-31,79.23,0.68%
2022-01-17,84.11,-7.82%
2022-01-03,91.28,3.87%
2021-12-20,88.57,2.77%
2021-12-06,89.92,2.93%
2021-11-22,91.89,-8.01%
2021-11-08,100.69,4.71%
2021-10-25,95.82,2.95%
2021-10-11,94.65,3.21%
2021-09-27,87.82,-1.77%
2021-09-13,90.51,-11.11%
2021-08-30,104.65,-3.50%
2021-08-16,106.05,-4.54%
2021-08-02,108.71,0.51%
2021-07-19,111.38,2.34%
2021-07-05,111.98,-5.01%
2021-06-21,120.81,2.38%
2021-06-07,123.15,1.40%
2021-05-24,114.83,3.89%
2021-05-10,108.3,0.10%
2021-04-26,106.32,-4.83%
2021-04-12,110.98,5.99%
2021-03-29,107.66,2.94%
2021-03-15,112.93,4.82%
2021-03-01,115.43,2.86%
2021-02-15,113.59,-1.88%
2021-02-01,117.89,7.90%
2021-01-18,111.89,0.30%
2021-01-04,112.41,-1.77%
2020-12-21,114.82,1.93%
2020-12-07,103.97,-5.85%
2020-11-23,110.38,5.84%
2020-11-09,100.71,14.66%
2020-10-26,86.16,-9.76%
2020-10-12,95.47,0.65%
2020-09-28,90.86,8.30%
2020-09-14,84.95,-3.52%
2020-08-31,88.84,3.02%
2020-08-17,82.38,-5.95%
2020-08-03,76.7,-1.57%
2020-07-20,85.51,7.36%
2020-07-06,78.28,-0.53%
2020-06-22,77.5,-1.02%
2020-06-08,78.65,-12.51%
2020-05-25,80.6,8.41%
2020-05-11,67.47,-1.31%
2020-04-27,66.71,10.70%
2020-04-13,63.18,0.11%
2020-03-30,51.88,-7.20%
2020-03-16,49.56,-11.41%
2020-03-02,73.92,-15.81%
2020-02-17,96.67,0.97%
2020-02-03,91.39,2.74%
2020-01-20,89.09,-10.13%
2020-01-06,102.83,4.40%
2019-12-23,99.89,-0.58%
2019-12-09,102.95,1.50%
2019-11-25,102.48,-2.56%
