Date,Close Price,Percentage Change
2023-11-20,7.96,-0.53%
2023-11-06,7.56,0.37%
2023-10-23,6.71,1.15%
2023-10-09,7.11,-3.94%
2023-09-25,7.51,-7.73%
2023-09-11,8.09,0.20%
2023-08-28,8.23,1.61%
2023-08-14,8.46,-3.26%
2023-07-31,8.58,-5.02%
2023-07-17,8.85,0.66%
2023-07-03,9.02,-3.86%
2023-06-19,9.21,-2.11%
2023-06-05,9.18,-1.28%
2023-05-22,9.22,-3.86%
2023-05-08,9.16,-0.45%
2023-04-24,9.73,-0.11%
2023-04-10,9.51,-7.44%
2023-03-27,10.26,9.53%
2023-03-13,9.51,-10.09%
2023-02-27,10.36,7.28%
2023-02-13,9.73,3.47%
2023-01-30,9.9,1.80%
2023-01-16,9.58,9.36%
2023-01-02,8.32,7.16%
2022-12-19,8.1,0.93%
2022-12-05,7.72,-0.27%
2022-11-21,7.57,3.15%
2022-11-07,7.33,3.27%
2022-10-24,6.82,3.79%
2022-10-10,6.48,7.00%
2022-09-26,5.92,4.30%
2022-09-12,6.07,-3.50%
2022-08-29,5.94,1.66%
2022-08-15,6.28,-4.75%
2022-08-01,6.73,12.21%
2022-07-18,6.04,-1.40%
2022-07-04,5.8,4.22%
2022-06-20,5.97,-0.15%
2022-06-06,6.07,-10.91%
2022-05-23,6.85,-0.03%
2022-05-09,6.78,-1.97%
2022-04-25,7.15,0.00%
2022-04-11,7.2,3.48%
2022-03-28,7.31,1.91%
2022-03-14,7.14,6.99%
2022-02-28,5.78,-19.52%
2022-02-14,7.53,-0.13%
2022-01-31,6.84,0.75%
2022-01-17,6.91,-4.59%
2022-01-03,7.07,14.34%
2021-12-20,6.29,5.43%
2021-12-06,6.02,5.82%
2021-11-22,5.42,-10.46%
2021-11-08,6.55,-5.43%
2021-10-25,5.71,4.46%
2021-10-11,6.01,4.23%
2021-09-27,6.23,-0.10%
2021-09-13,5.86,-27.11%
2021-08-30,8.29,-5.28%
2021-08-16,8.55,-7.67%
2021-08-02,9.38,-1.75%
2021-07-19,9.85,1.24%
2021-07-05,10.06,2.36%
2021-06-21,9.85,-4.63%
2021-06-07,10.76,0.30%
2021-05-24,10.69,5.16%
2021-05-10,10.84,-3.58%
2021-04-26,10.74,3.57%
2021-04-12,10.63,-4.23%
2021-03-29,10.97,0.30%
2021-03-15,11.54,-3.23%
2021-03-01,11.75,-4.40%
2021-02-15,11.04,3.52%
2021-02-01,11.1,4.27%
2021-01-18,9.96,-5.29%
2021-01-04,10.46,-3.28%
2020-12-21,9.86,1.82%
2020-12-07,9.6,-4.90%
2020-11-23,10.07,6.52%
2020-11-09,9.2,23.72%
2020-10-26,7.37,-13.21%
2020-10-12,7.56,-5.86%
2020-09-28,7.05,0.03%
2020-09-14,8.6,1.25%
2020-08-31,9.1,1.02%
2020-08-17,8.62,-0.07%
2020-08-03,7.98,6.66%
2020-07-20,8.23,-5.86%
2020-07-06,8.65,-3.42%
2020-06-22,8.99,-11.56%
2020-06-08,10.47,-3.68%
2020-05-25,9.14,13.73%
2020-05-11,7.49,-3.73%
2020-04-27,8.16,13.62%
2020-04-13,8.34,-6.04%
2020-03-30,7.95,-12.14%
2020-03-16,9.16,-2.55%
2020-03-02,11.48,-1.84%
2020-02-17,14.82,-2.60%
2020-02-03,14.69,6.22%
2020-01-20,14.43,-5.41%
2020-01-06,15.82,1.44%
2019-12-23,16.42,-1.50%
2019-12-09,16.8,-1.32%
2019-11-25,17.22,-0.06%
