Date,Close Price,Percentage Change
2023-11-20,40.94,1.04%
2023-11-06,38.97,3.26%
2023-10-23,36.52,-2.35%
2023-10-09,38.93,-0.33%
2023-09-25,38.54,-1.71%
2023-09-11,41.94,1.78%
2023-08-28,42.87,1.61%
2023-08-14,42.9,-1.71%
2023-07-31,44.17,-5.76%
2023-07-17,46.37,1.01%
2023-07-03,43.96,-1.72%
2023-06-19,43.19,-2.24%
2023-06-05,41.8,-2.52%
2023-05-22,42.14,-0.21%
2023-05-08,41.18,-1.66%
2023-04-24,43.52,0.03%
2023-04-10,42.85,2.75%
2023-03-27,43.09,3.98%
2023-03-13,40.53,-0.87%
2023-02-27,41.38,3.75%
2023-02-13,40.6,-0.85%
2023-01-30,42.79,6.98%
2023-01-16,39.81,4.12%
2023-01-02,36.98,5.12%
2022-12-19,35.06,-2.65%
2022-12-05,38.26,-1.58%
2022-11-21,38.28,-1.05%
2022-11-07,39.45,11.06%
2022-10-24,35.62,4.31%
2022-10-10,33.26,7.79%
2022-09-26,31.12,3.13%
2022-09-12,33.42,-7.97%
2022-08-29,36.6,-0.73%
2022-08-15,39.45,-1.40%
2022-08-01,41.76,7.34%
2022-07-18,37.97,4.56%
2022-07-04,36.36,1.41%
2022-06-20,35.9,1.93%
2022-06-06,34.81,-7.80%
2022-05-23,38.1,1.72%
2022-05-09,38.96,-0.05%
2022-04-25,40.92,-1.96%
2022-04-11,41.06,1.33%
2022-03-28,42.5,-3.94%
2022-03-14,46.35,8.04%
2022-02-28,41.15,-9.81%
2022-02-14,49.15,-6.79%
2022-01-31,52.18,-0.50%
2022-01-17,52.47,-3.07%
2022-01-03,55.74,-1.41%
2021-12-20,55.02,2.46%
2021-12-06,53.32,2.58%
2021-11-22,53.94,-5.60%
2021-11-08,56.09,0.77%
2021-10-25,53.52,-0.15%
2021-10-11,52.76,-0.30%
2021-09-27,54.13,-5.38%
2021-09-13,58.95,1.24%
2021-08-30,59.19,-0.08%
2021-08-16,59.41,2.25%
2021-08-02,57.68,1.00%
2021-07-19,59.37,2.20%
2021-07-05,58.27,0.12%
2021-06-21,57.81,2.72%
2021-06-07,57.12,0.83%
2021-05-24,55.75,6.99%
2021-05-10,51.13,0.25%
2021-04-26,48.96,0.44%
2021-04-12,48.58,1.11%
2021-03-29,46.52,2.11%
2021-03-15,44.81,-0.55%
2021-03-01,40.72,-0.83%
2021-02-15,42.41,-1.44%
2021-02-01,42.22,3.46%
2021-01-18,42.82,0.28%
2021-01-04,41.51,2.49%
2020-12-21,40.0,-2.84%
2020-12-07,39.08,-1.44%
2020-11-23,40.58,1.76%
2020-11-09,38.87,-6.13%
2020-10-26,38.04,-6.33%
2020-10-12,41.27,-0.02%
2020-09-28,39.23,2.78%
2020-09-14,39.39,1.97%
2020-08-31,37.68,-1.46%
2020-08-17,38.25,1.59%
2020-08-03,36.48,6.48%
2020-07-20,34.74,-1.19%
2020-07-06,34.0,2.69%
2020-06-22,31.4,0.96%
2020-06-08,30.21,-4.67%
2020-05-25,27.98,1.56%
2020-05-11,26.9,0.45%
2020-04-27,27.15,3.98%
2020-04-13,26.19,2.03%
2020-03-30,24.33,7.68%
2020-03-16,20.71,-4.56%
2020-03-02,24.79,-8.61%
2020-02-17,31.83,-4.29%
2020-02-03,32.69,3.53%
2020-01-20,33.21,-2.48%
2020-01-06,34.05,0.74%
2019-12-23,34.4,-0.23%
2019-12-09,34.62,1.58%
2019-11-25,33.84,-0.19%
