Date,Close Price,Percentage Change
2023-11-20,54.24,2.53%
2023-11-06,54.36,-2.41%
2023-10-23,52.94,5.50%
2023-10-09,51.0,-5.73%
2023-09-25,58.8,-1.18%
2023-09-11,61.14,-0.16%
2023-08-28,62.16,3.32%
2023-08-14,62.28,-4.16%
2023-07-31,63.54,3.32%
2023-07-17,56.78,0.67%
2023-07-03,51.94,-5.77%
2023-06-19,51.9,2.53%
2023-06-05,49.25,4.32%
2023-05-22,44.22,-3.60%
2023-05-08,50.79,-0.27%
2023-04-24,52.01,-6.03%
2023-04-10,55.68,5.63%
2023-03-27,55.84,8.47%
2023-03-13,49.87,-4.04%
2023-02-27,55.74,-5.71%
2023-02-13,60.22,0.95%
2023-01-30,66.01,12.60%
2023-01-16,60.53,-1.53%
2023-01-02,60.88,9.35%
2022-12-19,53.85,4.78%
2022-12-05,51.14,3.50%
2022-11-21,48.87,-3.25%
2022-11-07,51.01,12.72%
2022-10-24,44.96,4.40%
2022-10-10,45.55,-2.48%
2022-09-26,47.11,-9.73%
2022-09-12,56.35,-4.97%
2022-08-29,60.22,-1.26%
2022-08-15,64.54,-4.50%
2022-08-01,65.99,2.41%
2022-07-18,69.13,10.52%
2022-07-04,64.79,5.91%
2022-06-20,65.68,2.86%
2022-06-06,68.05,1.61%
2022-05-23,63.1,3.51%
2022-05-09,62.24,-4.89%
2022-04-25,68.61,-8.52%
2022-04-11,73.15,-0.11%
2022-03-28,74.67,0.73%
2022-03-14,75.97,10.72%
2022-02-28,65.7,-17.32%
2022-02-14,87.66,1.96%
2022-01-31,88.78,-0.52%
2022-01-17,91.05,0.69%
2022-01-03,97.17,-6.88%
2021-12-20,102.51,2.47%
2021-12-06,103.38,2.26%
2021-11-22,100.91,-9.37%
2021-11-08,108.04,-0.89%
2021-10-25,104.16,4.17%
2021-10-11,98.58,3.10%
2021-09-27,94.51,-1.64%
2021-09-13,97.8,-5.35%
2021-08-30,99.55,-2.43%
2021-08-16,103.19,-2.03%
2021-08-02,103.67,3.19%
2021-07-19,102.75,4.39%
2021-07-05,99.89,1.48%
2021-06-21,95.75,3.96%
2021-06-07,90.55,0.78%
2021-05-24,91.07,1.62%
2021-05-10,87.56,0.61%
2021-04-26,85.0,-2.38%
2021-04-12,88.91,-0.59%
2021-03-29,82.28,3.18%
2021-03-15,85.44,0.09%
2021-03-01,81.06,-4.91%
2021-02-15,86.28,4.19%
2021-02-01,82.25,5.08%
2021-01-18,82.5,-3.18%
2021-01-04,85.85,-3.99%
2020-12-21,87.69,1.09%
2020-12-07,83.83,0.12%
2020-11-23,79.57,-2.95%
2020-11-09,79.92,3.23%
2020-10-26,72.71,-8.49%
2020-10-12,77.36,2.33%
2020-09-28,76.92,3.39%
2020-09-14,73.1,3.54%
2020-08-31,66.22,-1.56%
2020-08-17,66.97,-0.52%
2020-08-03,64.86,1.67%
2020-07-20,64.42,-0.72%
2020-07-06,65.6,-3.42%
2020-06-22,65.4,-1.60%
2020-06-08,63.56,-9.07%
2020-05-25,62.19,6.36%
2020-05-11,57.56,-0.32%
2020-04-27,55.13,8.31%
2020-04-13,55.28,0.07%
2020-03-30,45.82,-14.76%
2020-03-16,45.02,-3.38%
2020-03-02,61.73,-7.15%
2020-02-17,76.62,10.84%
2020-02-03,68.12,-2.07%
2020-01-20,75.04,2.63%
2020-01-06,69.51,6.09%
2019-12-23,66.44,0.22%
2019-12-09,63.51,-2.79%
2019-11-25,65.53,2.56%
