Date,Close Price,Percentage Change
2023-11-20,55.2,-0.45%
2023-11-06,53.3,-1.39%
2023-10-23,56.6,-5.27%
2023-10-09,63.8,4.25%
2023-09-25,61.45,-0.24%
2023-09-11,66.55,-2.92%
2023-08-28,73.7,0.27%
2023-08-14,73.4,-4.61%
2023-07-31,86.8,0.58%
2023-07-17,89.95,0.45%
2023-07-03,97.35,-13.00%
2023-06-19,102.0,14.22%
2023-06-05,86.4,-9.72%
2023-05-22,102.0,-3.04%
2023-05-08,98.95,-6.03%
2023-04-24,97.8,-7.12%
2023-04-10,103.1,5.74%
2023-03-27,98.95,30.63%
2023-03-13,73.65,-9.19%
2023-02-27,70.9,-2.88%
2023-02-13,79.0,2.46%
2023-01-30,77.2,0.39%
2023-01-16,77.45,-0.96%
2023-01-02,65.25,-2.39%
2022-12-19,67.85,4.06%
2022-12-05,68.45,5.88%
2022-11-21,60.55,0.92%
2022-11-07,55.05,6.79%
2022-10-24,51.1,24.94%
2022-10-10,40.0,-6.85%
2022-09-26,48.0,0.42%
2022-09-12,51.95,-4.85%
2022-08-29,50.85,0.69%
2022-08-15,53.2,-10.59%
2022-08-01,52.8,-0.47%
2022-07-18,47.32,13.21%
2022-07-04,44.1,11.25%
2022-06-20,41.58,-2.12%
2022-06-06,44.5,2.06%
2022-05-23,46.16,8.41%
2022-05-09,39.94,-8.65%
2022-04-25,43.72,1.96%
2022-04-11,41.4,-3.90%
2022-03-28,39.88,8.43%
2022-03-14,38.24,-5.44%
2022-02-28,30.18,1.48%
2022-02-14,29.0,-3.97%
2022-01-31,30.22,-1.24%
2022-01-17,32.52,-3.79%
2022-01-03,35.8,-4.23%
2021-12-20,38.36,4.07%
2021-12-06,39.4,-3.29%
2021-11-22,42.96,-6.65%
2021-11-08,49.92,21.58%
2021-10-25,45.66,9.18%
2021-10-11,40.34,13.57%
2021-09-27,36.48,-3.59%
2021-09-13,37.9,2.16%
2021-08-30,41.84,0.77%
2021-08-16,38.7,-8.38%
2021-08-02,47.06,6.57%
2021-07-19,43.98,1.43%
2021-07-05,48.46,1.94%
2021-06-21,45.58,6.64%
2021-06-07,42.54,-5.59%
2021-05-24,45.48,1.37%
2021-05-10,42.24,-5.64%
2021-04-26,47.19,-2.02%
2021-04-12,47.68,-4.76%
2021-03-29,52.65,10.32%
2021-03-15,50.17,-5.96%
2021-03-01,48.2,-8.88%
2021-02-15,58.61,-1.58%
2021-02-01,61.49,2.82%
2021-01-18,66.71,7.44%
2021-01-04,65.61,18.05%
2020-12-21,55.08,2.59%
2020-12-07,49.87,6.27%
2020-11-23,49.43,3.19%
2020-11-09,47.74,15.64%
2020-10-26,36.91,-2.88%
2020-10-12,41.84,-3.31%
2020-09-28,37.63,-2.07%
2020-09-14,39.74,8.11%
2020-08-31,35.98,-5.78%
2020-08-17,35.66,1.93%
2020-08-03,28.05,13.87%
2020-07-20,26.7,-3.38%
2020-07-06,27.62,1.76%
2020-06-22,26.9,-2.31%
2020-06-08,26.34,-12.30%
2020-05-25,26.54,-2.05%
2020-05-11,24.48,-16.42%
2020-04-27,28.85,0.48%
2020-04-13,28.97,9.62%
2020-03-30,24.95,-1.64%
2020-03-16,21.2,-8.02%
2020-03-02,28.57,-6.14%
2020-02-17,35.07,-1.45%
2020-02-03,33.66,2.05%
2020-01-20,39.08,-0.05%
2020-01-06,38.84,10.39%
2019-12-23,33.97,-0.41%
2019-12-09,32.42,4.02%
2019-11-25,30.87,0.26%
