Date,Close Price,Percentage Change
2023-11-20,108.84,0.00%
2023-11-06,103.66,-1.31%
2023-10-23,99.29,-3.73%
2023-10-09,107.68,0.84%
2023-09-25,108.94,-4.84%
2023-09-11,109.8,2.56%
2023-08-28,108.32,-3.37%
2023-08-14,114.46,-2.17%
2023-07-31,118.58,-2.23%
2023-07-17,124.92,1.43%
2023-07-03,122.36,-0.47%
2023-06-19,122.36,-5.16%
2023-06-05,126.28,3.90%
2023-05-22,119.76,-0.37%
2023-05-08,110.99,-6.23%
2023-04-24,115.13,1.46%
2023-04-10,118.87,3.43%
2023-03-27,116.95,5.58%
2023-03-13,112.11,-10.85%
2023-02-27,132.37,11.27%
2023-02-13,122.15,2.04%
2023-01-30,122.82,5.55%
2023-01-16,115.67,-0.67%
2023-01-02,119.3,10.08%
2022-12-19,92.63,-15.29%
2022-12-05,109.92,-1.28%
2022-11-21,109.37,-3.74%
2022-11-07,114.27,7.21%
2022-10-24,102.71,-1.08%
2022-10-10,99.54,-4.61%
2022-09-26,101.23,-9.82%
2022-09-12,116.5,-1.03%
2022-08-29,119.3,5.69%
2022-08-15,116.74,-1.73%
2022-08-01,114.88,4.47%
2022-07-18,107.58,1.57%
2022-07-04,107.69,5.48%
2022-06-20,111.47,-1.75%
2022-06-06,121.96,-2.81%
2022-05-23,121.21,3.89%
2022-05-09,111.23,-0.50%
2022-04-25,113.13,-2.36%
2022-04-11,113.16,-2.65%
2022-03-28,119.69,4.23%
2022-03-14,116.91,7.11%
2022-02-28,109.76,-22.03%
2022-02-14,136.8,-4.53%
2022-01-31,133.79,-4.06%
2022-01-17,142.51,-2.84%
2022-01-03,142.6,5.78%
2021-12-20,134.37,0.50%
2021-12-06,136.98,9.09%
2021-11-22,124.52,-9.24%
2021-11-08,142.8,-2.53%
2021-10-25,147.22,-1.16%
2021-10-11,150.89,4.56%
2021-09-27,147.11,2.27%
2021-09-13,144.09,-2.94%
2021-08-30,153.36,0.57%
2021-08-16,146.49,-7.19%
2021-08-02,157.08,0.63%
2021-07-19,154.76,0.46%
2021-07-05,157.54,0.47%
2021-06-21,160.21,-1.12%
2021-06-07,173.08,-2.79%
2021-05-24,167.78,4.72%
2021-05-10,156.43,0.05%
2021-04-26,160.77,-5.58%
2021-04-12,181.8,3.33%
2021-03-29,178.91,5.77%
2021-03-15,164.29,16.42%
2021-03-01,143.54,11.83%
2021-02-15,126.52,5.79%
2021-02-01,120.29,3.64%
2021-01-18,122.47,8.69%
2021-01-04,108.66,-3.91%
2020-12-21,113.11,-0.60%
2020-12-07,103.94,-3.66%
2020-11-23,108.26,-4.09%
2020-11-09,111.42,12.78%
2020-10-26,92.81,-10.04%
2020-10-12,102.59,0.45%
2020-09-28,94.46,-0.98%
2020-09-14,101.61,-5.25%
2020-08-31,102.34,2.49%
2020-08-17,97.38,-2.09%
2020-08-03,95.08,6.29%
2020-07-20,101.64,-1.68%
2020-07-06,100.18,3.25%
2020-06-22,95.41,2.02%
2020-06-08,95.87,-10.08%
2020-05-25,94.82,-0.21%
2020-05-11,86.76,-5.96%
2020-04-27,91.76,9.25%
2020-04-13,89.17,1.68%
2020-03-30,70.78,-6.18%
2020-03-16,67.36,-15.11%
2020-03-02,105.34,-0.93%
2020-02-17,118.81,-2.60%
2020-02-03,119.1,2.49%
2020-01-20,127.04,-2.12%
2020-01-06,132.77,5.03%
2019-12-23,126.43,-0.17%
2019-12-09,131.18,3.79%
2019-11-25,125.58,-0.90%
