Date,Close Price,Percentage Change
2023-11-20,181.7,1.15%
2023-11-06,170.9,0.25%
2023-10-23,166.3,-2.18%
2023-10-09,167.58,5.24%
2023-09-25,166.62,1.72%
2023-09-11,174.08,-1.08%
2023-08-28,184.46,4.55%
2023-08-14,183.6,3.18%
2023-07-31,181.26,-2.10%
2023-07-17,172.7,-0.32%
2023-07-03,166.62,-6.28%
2023-06-19,176.88,1.18%
2023-06-05,160.0,0.30%
2023-05-22,155.44,-2.25%
2023-05-08,164.15,-3.23%
2023-04-24,158.77,-2.48%
2023-04-10,164.91,1.10%
2023-03-27,162.1,15.35%
2023-03-13,140.45,-5.73%
2023-02-27,145.39,7.04%
2023-02-13,142.92,3.06%
2023-01-30,160.39,10.86%
2023-01-16,145.83,-0.05%
2023-01-02,140.09,10.37%
2022-12-19,125.33,3.93%
2022-12-05,118.4,-4.31%
2022-11-21,123.46,-4.04%
2022-11-07,135.07,18.94%
2022-10-24,98.93,-4.34%
2022-10-10,113.64,-1.25%
2022-09-26,118.38,-9.22%
2022-09-12,134.57,-7.03%
2022-08-29,147.66,-2.15%
2022-08-15,164.91,-4.39%
2022-08-01,170.84,2.24%
2022-07-18,175.88,9.73%
2022-07-04,167.75,0.49%
2022-06-20,169.65,2.63%
2022-06-06,174.96,-3.69%
2022-05-23,176.02,2.29%
2022-05-09,176.44,-4.11%
2022-04-25,189.38,-6.89%
2022-04-11,196.5,-3.18%
2022-03-28,205.39,-1.11%
2022-03-14,211.75,6.18%
2022-02-28,182.81,-12.56%
2022-02-14,224.26,-2.88%
2022-01-31,234.72,1.67%
2022-01-17,244.99,-0.69%
2022-01-03,241.91,-2.27%
2021-12-20,246.26,-0.32%
2021-12-06,249.09,2.17%
2021-11-22,247.68,-10.27%
2021-11-08,274.32,-5.97%
2021-10-25,276.96,2.18%
2021-10-11,268.25,4.61%
2021-09-27,264.2,-4.17%
2021-09-13,276.03,-5.58%
2021-08-30,292.35,-1.71%
2021-08-16,295.24,-5.42%
2021-08-02,303.59,1.45%
2021-07-19,310.68,1.89%
2021-07-05,311.32,0.58%
2021-06-21,304.38,8.45%
2021-06-07,288.3,-0.57%
2021-05-24,292.65,-0.86%
2021-05-10,279.13,2.83%
2021-04-26,248.47,-3.48%
2021-04-12,268.83,-0.75%
2021-03-29,261.92,3.46%
2021-03-15,271.83,-5.99%
2021-03-01,262.64,-6.02%
2021-02-15,285.95,1.27%
2021-02-01,269.51,6.34%
2021-01-18,268.93,-1.35%
2021-01-04,285.47,-0.94%
2020-12-21,284.02,1.28%
2020-12-07,274.06,2.91%
2020-11-23,262.35,-3.32%
2020-11-09,261.19,-2.67%
2020-10-26,246.68,-9.51%
2020-10-12,274.73,0.53%
2020-09-28,267.86,-0.57%
2020-09-14,270.48,2.31%
2020-08-31,254.13,3.83%
2020-08-17,250.06,-2.78%
2020-08-03,241.26,6.63%
2020-07-20,231.3,0.55%
2020-07-06,227.91,-2.40%
2020-06-22,225.4,-1.94%
2020-06-08,222.59,-13.01%
2020-05-25,229.46,8.91%
2020-05-11,189.94,-3.66%
2020-04-27,198.38,1.85%
2020-04-13,207.39,-2.50%
2020-03-30,178.8,-9.76%
2020-03-16,181.6,11.38%
2020-03-02,228.59,-3.79%
2020-02-17,267.85,-2.06%
2020-02-03,274.15,1.15%
2020-01-20,296.82,0.43%
2020-01-06,293.07,5.86%
2019-12-23,277.38,0.36%
2019-12-09,264.19,-0.21%
2019-11-25,268.13,3.57%
