Date,Close Price,Percentage Change
2023-11-20,121.53,0.75%
2023-11-06,118.59,5.65%
2023-10-23,96.43,-5.28%
2023-10-09,105.09,-2.00%
2023-09-25,102.82,6.88%
2023-09-11,101.49,-4.34%
2023-08-28,109.45,7.04%
2023-08-14,105.45,-1.97%
2023-07-31,115.82,2.53%
2023-07-17,110.95,-4.30%
2023-07-03,113.17,-0.65%
2023-06-19,110.01,-8.39%
2023-06-05,124.92,5.99%
2023-05-22,127.03,20.04%
2023-05-08,95.26,6.03%
2023-04-24,89.37,1.06%
2023-04-10,91.75,-0.78%
2023-03-27,98.01,0.06%
2023-03-13,97.84,18.35%
2023-02-27,81.52,4.39%
2023-02-13,78.5,-3.66%
2023-01-30,86.09,14.18%
2023-01-16,70.07,-1.31%
2023-01-02,63.96,-1.25%
2022-12-19,64.52,-1.36%
2022-12-05,68.59,-8.52%
2022-11-21,75.14,2.13%
2022-11-07,72.37,16.37%
2022-10-24,62.01,5.42%
2022-10-10,55.94,-4.28%
2022-09-26,63.36,-6.77%
2022-09-12,76.51,-10.46%
2022-08-29,80.24,-12.00%
2022-08-15,95.95,-4.84%
2022-08-01,102.31,8.30%
2022-07-18,88.1,8.62%
2022-07-04,79.35,7.71%
2022-06-20,87.08,6.75%
2022-06-06,94.82,-10.80%
2022-05-23,102.26,9.37%
2022-05-09,95.12,-0.23%
2022-04-25,85.52,-2.97%
2022-04-11,93.06,-7.86%
2022-03-28,108.19,-9.59%
2022-03-14,113.46,8.79%
2022-02-28,108.41,-10.45%
2022-02-14,113.83,0.57%
2022-01-31,123.6,17.45%
2022-01-17,118.81,-13.20%
2022-01-03,132.0,-8.27%
2021-12-20,146.14,6.09%
2021-12-06,138.55,-3.79%
2021-11-22,154.81,-0.39%
2021-11-08,147.89,8.47%
2021-10-25,120.23,0.34%
2021-10-11,112.12,6.72%
2021-09-27,102.45,-3.17%
2021-09-13,103.88,-1.25%
2021-08-30,109.92,-1.33%
2021-08-16,104.65,-5.34%
2021-08-02,110.11,3.69%
2021-07-19,92.15,7.29%
2021-07-05,90.9,-4.01%
2021-06-21,85.62,1.15%
2021-06-07,81.31,-0.33%
2021-05-24,80.08,3.77%
2021-05-10,74.59,-5.35%
2021-04-26,81.62,-1.38%
2021-04-12,82.15,-0.74%
2021-03-29,81.09,4.75%
2021-03-15,79.06,-2.46%
2021-03-01,78.52,-7.09%
2021-02-15,89.58,-4.47%
2021-02-01,87.9,2.64%
2021-01-18,92.79,5.19%
2021-01-04,94.58,3.13%
2020-12-21,91.81,-4.28%
2020-12-07,91.65,-2.54%
2020-11-23,87.19,3.01%
2020-11-09,81.43,-5.18%
2020-10-26,75.29,-8.14%
2020-10-12,83.17,0.08%
2020-09-28,81.8,4.79%
2020-09-14,74.93,-1.85%
2020-08-31,82.01,-4.14%
2020-08-17,83.81,3.09%
2020-08-03,84.85,9.58%
2020-07-20,69.4,26.09%
2020-07-06,55.88,6.76%
2020-06-22,50.1,-7.62%
2020-06-08,53.5,0.75%
2020-05-25,53.8,-2.48%
2020-05-11,54.2,1.90%
2020-04-27,49.88,-11.21%
2020-04-13,56.6,16.99%
2020-03-30,42.59,-8.57%
2020-03-16,39.61,-9.77%
2020-03-02,48.59,6.84%
2020-02-17,53.28,-3.67%
2020-02-03,49.73,5.81%
2020-01-20,50.35,-1.14%
2020-01-06,48.17,-0.88%
2019-12-23,46.18,4.60%
2019-12-09,41.15,3.84%
2019-11-25,39.15,0.00%
