Date,Close Price,Percentage Change
2023-11-20,12.34,1.15%
2023-11-06,11.29,-1.66%
2023-10-23,10.93,8.11%
2023-10-09,10.42,-2.62%
2023-09-25,10.99,2.52%
2023-09-11,10.93,5.81%
2023-08-28,10.89,1.59%
2023-08-14,10.72,-2.10%
2023-07-31,11.02,-0.81%
2023-07-17,11.32,5.30%
2023-07-03,10.22,-2.94%
2023-06-19,9.95,-4.51%
2023-06-05,10.61,0.09%
2023-05-22,10.47,1.90%
2023-05-08,10.14,-1.97%
2023-04-24,10.67,1.19%
2023-04-10,10.61,5.39%
2023-03-27,9.9,9.20%
2023-03-13,9.59,-11.06%
2023-02-27,12.1,4.26%
2023-02-13,12.33,5.04%
2023-01-30,12.05,-7.45%
2023-01-16,12.64,2.44%
2023-01-02,12.06,7.99%
2022-12-19,11.03,8.48%
2022-12-05,10.33,1.04%
2022-11-21,10.48,2.95%
2022-11-07,10.29,9.26%
2022-10-24,9.5,9.87%
2022-10-10,8.06,8.47%
2022-09-26,7.17,-11.27%
2022-09-12,8.81,1.45%
2022-08-29,8.02,1.97%
2022-08-15,8.27,-8.96%
2022-08-01,8.64,2.30%
2022-07-18,8.14,6.19%
2022-07-04,8.06,-1.77%
2022-06-20,9.17,-4.54%
2022-06-06,9.67,-8.69%
2022-05-23,10.91,15.96%
2022-05-09,9.21,-1.32%
2022-04-25,9.38,-16.13%
2022-04-11,11.15,-8.27%
2022-03-28,12.43,1.63%
2022-03-14,11.65,19.80%
2022-02-28,9.47,-25.74%
2022-02-14,14.53,-2.48%
2022-01-31,14.95,16.75%
2022-01-17,12.16,-7.11%
2022-01-03,13.37,12.72%
2021-12-20,11.98,3.02%
2021-12-06,11.78,2.65%
2021-11-22,11.62,0.58%
2021-11-08,12.11,-0.78%
2021-10-25,12.17,-5.94%
2021-10-11,12.6,0.45%
2021-09-27,11.95,-0.87%
2021-09-13,12.25,1.49%
2021-08-30,11.92,1.13%
2021-08-16,11.65,-5.25%
2021-08-02,12.05,1.52%
2021-07-19,11.8,4.37%
2021-07-05,11.91,-3.46%
2021-06-21,12.63,2.86%
2021-06-07,13.45,-6.28%
2021-05-24,14.32,2.44%
2021-05-10,13.67,1.84%
2021-04-26,13.29,17.85%
2021-04-12,11.91,1.87%
2021-03-29,11.5,-1.86%
2021-03-15,12.01,-0.47%
2021-03-01,12.06,3.59%
2021-02-15,11.04,6.80%
2021-02-01,9.79,1.98%
2021-01-18,10.33,-6.28%
2021-01-04,11.07,6.97%
2020-12-21,10.3,-1.99%
2020-12-07,10.08,-9.77%
2020-11-23,10.78,6.27%
2020-11-09,10.18,5.71%
2020-10-26,8.78,-4.15%
2020-10-12,8.78,-0.32%
2020-09-28,8.07,6.25%
2020-09-14,8.63,-1.84%
2020-08-31,9.23,-1.62%
2020-08-17,8.71,-3.57%
2020-08-03,8.75,3.36%
2020-07-20,9.12,-3.61%
2020-07-06,9.58,5.98%
2020-06-22,8.54,-2.39%
2020-06-08,8.91,-3.10%
2020-05-25,7.97,14.75%
2020-05-11,6.11,-9.68%
2020-04-27,6.79,20.17%
2020-04-13,6.21,-2.24%
2020-03-30,5.6,-8.81%
2020-03-16,5.47,-3.52%
2020-03-02,7.2,-12.96%
2020-02-17,9.72,-7.25%
2020-02-03,9.88,13.77%
2020-01-20,8.13,1.78%
2020-01-06,8.09,4.93%
2019-12-23,7.27,-1.42%
2019-12-09,7.1,3.60%
2019-11-25,6.84,-2.04%
