Date,Close Price,Percentage Change
2023-11-20,44.74,2.12%
2023-11-06,38.73,1.89%
2023-10-23,35.42,1.78%
2023-10-09,35.85,-0.61%
2023-09-25,35.43,4.01%
2023-09-11,37.76,-0.34%
2023-08-28,36.49,10.11%
2023-08-14,32.64,-6.13%
2023-07-31,34.9,-4.59%
2023-07-17,33.79,2.62%
2023-07-03,31.63,-4.75%
2023-06-19,32.77,-9.27%
2023-06-05,31.13,0.10%
2023-05-22,28.8,-3.11%
2023-05-08,28.75,-6.20%
2023-04-24,30.72,2.51%
2023-04-10,31.54,-2.80%
2023-03-27,32.31,11.27%
2023-03-13,29.49,9.52%
2023-02-27,26.11,5.01%
2023-02-13,27.31,0.53%
2023-01-30,29.63,7.67%
2023-01-16,28.55,-2.96%
2023-01-02,28.07,8.70%
2022-12-19,25.49,-3.08%
2022-12-05,27.6,-3.98%
2022-11-21,28.67,-1.77%
2022-11-07,29.74,9.37%
2022-10-24,28.03,7.79%
2022-10-10,24.98,0.74%
2022-09-26,24.85,-6.36%
2022-09-12,28.19,-7.06%
2022-08-29,30.1,-6.41%
2022-08-15,34.11,-2.02%
2022-08-01,33.78,-2.53%
2022-07-18,37.42,1.50%
2022-07-04,36.26,4.54%
2022-06-20,36.85,4.44%
2022-06-06,37.4,-9.70%
2022-05-23,42.52,6.96%
2022-05-09,41.62,-0.80%
2022-04-25,41.28,-6.34%
2022-04-11,43.25,-2.87%
2022-03-28,45.56,-7.18%
2022-03-14,44.94,3.53%
2022-02-28,45.52,0.75%
2022-02-14,42.66,-5.44%
2022-01-31,45.12,0.59%
2022-01-17,48.91,-6.57%
2022-01-03,50.23,3.77%
2021-12-20,48.23,1.36%
2021-12-06,47.55,2.72%
2021-11-22,45.85,-1.49%
2021-11-08,47.29,-0.51%
2021-10-25,45.74,-0.93%
2021-10-11,50.83,1.21%
2021-09-27,50.27,-0.66%
2021-09-13,50.65,0.78%
2021-08-30,49.95,-0.71%
2021-08-16,48.55,-2.77%
2021-08-02,50.0,0.37%
2021-07-19,49.15,-3.58%
2021-07-05,51.92,-1.36%
2021-06-21,51.85,0.43%
2021-06-07,53.65,0.84%
2021-05-24,52.97,1.85%
2021-05-10,51.33,-3.43%
2021-04-26,53.03,-2.89%
2021-04-12,59.68,-5.14%
2021-03-29,59.5,-0.49%
2021-03-15,58.77,1.37%
2021-03-01,55.98,-0.07%
2021-02-15,58.08,1.94%
2021-02-01,53.3,4.81%
2021-01-18,51.91,-1.60%
2021-01-04,47.32,3.67%
2020-12-21,43.12,-0.82%
2020-12-07,45.56,-4.35%
2020-11-23,43.47,4.54%
2020-11-09,41.65,0.88%
2020-10-26,40.27,-8.13%
2020-10-12,49.26,2.54%
2020-09-28,46.39,2.14%
2020-09-14,45.38,1.24%
2020-08-31,45.55,-0.69%
2020-08-17,44.82,0.80%
2020-08-03,43.39,0.63%
2020-07-20,45.7,-15.68%
2020-07-06,53.78,0.68%
2020-06-22,51.94,-3.56%
2020-06-08,53.6,-7.79%
2020-05-25,56.85,1.08%
2020-05-11,52.65,-1.78%
2020-04-27,51.63,-3.02%
2020-04-13,54.22,5.64%
2020-03-30,48.63,3.36%
2020-03-16,41.17,-15.80%
2020-03-02,50.1,0.45%
2020-02-17,57.8,-4.36%
2020-02-03,59.02,3.27%
2020-01-20,61.21,14.88%
2020-01-06,52.69,-1.93%
2019-12-23,53.71,1.92%
2019-12-09,51.66,1.73%
2019-11-25,51.89,0.76%
