Date,Close Price,Percentage Change
2023-11-20,404.4,1.02%
2023-11-06,394.38,2.16%
2023-10-23,364.08,-5.29%
2023-10-09,398.03,0.16%
2023-09-25,395.34,-1.57%
2023-09-11,413.71,-0.13%
2023-08-28,414.97,3.15%
2023-08-14,391.6,-0.71%
2023-07-31,390.78,-0.41%
2023-07-17,396.91,-1.25%
2023-07-03,387.56,-1.17%
2023-06-19,378.71,0.87%
2023-06-05,368.15,-1.21%
2023-05-22,373.29,-2.90%
2023-05-08,380.82,-0.71%
2023-04-24,378.93,1.28%
2023-04-10,371.35,3.19%
2023-03-27,361.79,3.35%
2023-03-13,348.1,0.73%
2023-02-27,359.89,2.37%
2023-02-13,359.52,-1.55%
2023-01-30,372.25,-0.03%
2023-01-16,374.61,0.20%
2023-01-02,365.44,5.73%
2022-12-19,341.52,-0.65%
2022-12-05,346.71,-3.12%
2022-11-21,349.16,2.21%
2022-11-07,337.23,6.57%
2022-10-24,327.47,8.96%
2022-10-10,286.94,-1.97%
2022-09-26,282.16,-3.15%
2022-09-12,312.71,-6.17%
2022-08-29,320.09,-2.83%
2022-08-15,351.56,0.00%
2022-08-01,354.77,1.05%
2022-07-18,341.24,3.40%
2022-07-04,320.09,1.51%
2022-06-20,327.46,6.38%
2022-06-06,331.68,-6.45%
2022-05-23,354.49,6.43%
2022-05-09,329.74,-4.13%
2022-04-25,360.04,3.47%
2022-04-11,354.53,1.72%
2022-03-28,360.13,4.28%
2022-03-14,346.39,7.79%
2022-02-28,327.27,-10.38%
2022-02-14,366.04,0.05%
2022-01-31,378.17,-0.08%
2022-01-17,351.33,-4.58%
2022-01-03,365.27,2.87%
2021-12-20,356.31,3.23%
2021-12-06,345.77,8.63%
2021-11-22,320.33,-4.58%
2021-11-08,359.19,4.22%
2021-10-25,331.54,-6.45%
2021-10-11,351.78,0.42%
2021-09-27,355.46,0.56%
2021-09-13,338.55,-1.25%
2021-08-30,335.77,-4.36%
2021-08-16,350.34,-2.14%
2021-08-02,369.62,-2.96%
2021-07-19,388.11,1.59%
2021-07-05,367.62,-0.56%
2021-06-21,374.2,3.32%
2021-06-07,360.29,-0.14%
2021-05-24,355.44,-1.91%
2021-05-10,358.72,-3.06%
2021-04-26,376.61,-1.29%
2021-04-12,380.66,1.72%
2021-03-29,357.69,-0.78%
2021-03-15,351.01,-6.85%
2021-03-01,355.31,1.99%
2021-02-15,328.03,-2.30%
2021-02-01,333.52,7.10%
2021-01-18,323.91,1.77%
2021-01-04,347.95,-0.87%
2020-12-21,330.4,-1.27%
2020-12-07,321.96,-4.92%
2020-11-23,333.42,4.98%
2020-11-09,329.44,6.82%
2020-10-26,283.83,-12.43%
2020-10-12,333.74,-3.57%
2020-09-28,332.79,2.12%
2020-09-14,329.29,1.55%
2020-08-31,329.04,-8.50%
2020-08-17,331.09,3.15%
2020-08-03,322.17,6.32%
2020-07-20,301.45,0.94%
2020-07-06,290.02,-2.23%
2020-06-22,283.8,-2.41%
2020-06-08,292.09,-4.52%
2020-05-25,295.13,2.03%
2020-05-11,273.6,-1.24%
2020-04-27,263.6,3.86%
2020-04-13,255.0,-3.35%
2020-03-30,232.14,-4.29%
2020-03-16,207.06,-21.70%
2020-03-02,281.08,-1.12%
2020-02-17,332.69,-0.37%
2020-02-03,320.25,3.50%
2020-01-20,316.99,0.00%
2020-01-06,304.34,3.57%
2019-12-23,294.14,0.73%
2019-12-09,289.59,1.96%
2019-11-25,285.82,3.42%
