Date,Close Price,Percentage Change
2023-11-20,106.32,0.34%
2023-11-06,106.11,-0.89%
2023-10-23,97.98,-4.57%
2023-10-09,99.91,2.88%
2023-09-25,95.62,5.25%
2023-09-11,96.26,-1.44%
2023-08-28,102.02,3.56%
2023-08-14,104.46,-3.03%
2023-07-31,108.45,0.17%
2023-07-17,108.7,1.03%
2023-07-03,104.11,-5.35%
2023-06-19,109.15,-3.58%
2023-06-05,105.51,-1.46%
2023-05-22,106.8,-6.32%
2023-05-08,119.42,-5.04%
2023-04-24,125.88,0.95%
2023-04-10,125.12,4.77%
2023-03-27,121.83,1.60%
2023-03-13,119.59,2.47%
2023-02-27,119.8,2.46%
2023-02-13,123.66,2.14%
2023-01-30,126.41,0.06%
2023-01-16,125.43,-1.73%
2023-01-02,123.35,6.43%
2022-12-19,115.15,9.72%
2022-12-05,108.39,-2.18%
2022-11-21,104.64,0.51%
2022-11-07,104.77,10.75%
2022-10-24,92.66,6.02%
2022-10-10,86.46,0.45%
2022-09-26,82.08,-14.33%
2022-09-12,102.82,-6.17%
2022-08-29,104.12,-2.35%
2022-08-15,111.43,-2.51%
2022-08-01,112.13,-0.91%
2022-07-18,107.45,4.22%
2022-07-04,106.28,6.67%
2022-06-20,111.18,5.19%
2022-06-06,112.97,-4.91%
2022-05-23,113.93,7.40%
2022-05-09,111.01,-1.29%
2022-04-25,122.49,-3.39%
2022-04-11,131.09,4.14%
2022-03-28,131.15,-0.13%
2022-03-14,128.91,7.02%
2022-02-28,128.56,-5.49%
2022-02-14,140.1,1.98%
2022-01-31,142.49,-0.36%
2022-01-17,140.1,-3.53%
2022-01-03,153.84,-5.82%
2021-12-20,162.36,2.67%
2021-12-06,165.68,-0.51%
2021-11-22,164.37,-3.92%
2021-11-08,165.42,-4.74%
2021-10-25,163.66,2.33%
2021-10-11,154.58,3.63%
2021-09-27,143.87,-1.69%
2021-09-13,153.02,-4.38%
2021-08-30,159.74,-2.40%
2021-08-16,163.87,-2.27%
2021-08-02,168.77,3.16%
2021-07-19,162.48,4.07%
2021-07-05,157.24,0.79%
2021-06-21,150.75,20.20%
2021-06-07,128.86,-1.35%
2021-05-24,133.01,2.86%
2021-05-10,132.49,-1.36%
2021-04-26,129.26,1.87%
2021-04-12,130.91,-0.84%
2021-03-29,129.18,-0.35%
2021-03-15,134.01,-2.11%
2021-03-01,129.98,-0.86%
2021-02-15,138.15,-0.07%
2021-02-01,141.15,8.62%
2021-01-18,135.55,-0.97%
2021-01-04,142.36,3.45%
2020-12-21,137.74,3.15%
2020-12-07,133.66,0.36%
2020-11-23,130.33,0.96%
2020-11-09,124.53,-0.48%
2020-10-26,116.57,-7.62%
2020-10-12,124.26,-2.28%
2020-09-28,122.94,1.94%
2020-09-14,111.31,-2.83%
2020-08-31,109.11,0.32%
2020-08-17,106.31,3.12%
2020-08-03,98.66,4.35%
2020-07-20,95.34,2.23%
2020-07-06,94.92,-0.45%
2020-06-22,90.73,-2.20%
2020-06-08,93.4,-6.11%
2020-05-25,95.25,5.15%
2020-05-11,84.05,-3.84%
2020-04-27,82.65,-3.20%
2020-04-13,86.87,3.59%
2020-03-30,76.2,-5.25%
2020-03-16,65.17,-10.76%
2020-03-02,85.37,-0.87%
2020-02-17,96.59,-3.18%
2020-02-03,95.81,3.26%
2020-01-20,98.31,-2.39%
2020-01-06,97.22,-1.00%
2019-12-23,97.87,1.61%
2019-12-09,94.2,0.79%
2019-11-25,89.85,0.16%
