Date,Close Price,Percentage Change
2023-11-20,116.92,1.35%
2023-11-06,113.07,4.65%
2023-10-23,100.99,-0.84%
2023-10-09,107.86,-1.56%
2023-09-25,105.53,-2.85%
2023-09-11,113.49,-9.82%
2023-08-28,120.49,4.20%
2023-08-14,116.04,3.01%
2023-07-31,114.02,-1.34%
2023-07-17,117.22,-1.01%
2023-07-03,113.79,-3.76%
2023-06-19,117.79,-5.44%
2023-06-05,109.07,3.74%
2023-05-22,103.34,1.21%
2023-05-08,97.15,0.91%
2023-04-24,94.04,-0.45%
2023-04-10,94.63,-0.22%
2023-03-27,91.87,5.58%
2023-03-13,84.3,1.42%
2023-02-27,88.24,0.67%
2023-02-13,86.3,0.16%
2023-01-30,88.61,0.71%
2023-01-16,86.27,-1.82%
2023-01-02,84.38,4.80%
2022-12-19,79.64,1.60%
2022-12-05,78.66,-4.19%
2022-11-21,81.48,3.75%
2022-11-07,76.58,2.29%
2022-10-24,76.2,6.41%
2022-10-10,63.02,1.61%
2022-09-26,59.85,-5.39%
2022-09-12,67.45,-9.33%
2022-08-29,73.19,0.04%
2022-08-15,77.09,-0.62%
2022-08-01,75.8,-0.63%
2022-07-18,73.4,6.35%
2022-07-04,70.12,1.41%
2022-06-20,68.98,4.40%
2022-06-06,65.5,-6.48%
2022-05-23,71.01,6.05%
2022-05-09,69.44,-1.82%
2022-04-25,71.61,-3.69%
2022-04-11,77.51,-1.46%
2022-03-28,79.7,0.34%
2022-03-14,79.38,4.96%
2022-02-28,74.34,0.18%
2022-02-14,72.47,-6.50%
2022-01-31,79.8,2.03%
2022-01-17,79.9,-6.24%
2022-01-03,84.73,0.34%
2021-12-20,86.87,-7.14%
2021-12-06,99.37,16.31%
2021-11-22,89.4,-1.75%
2021-11-08,90.57,-1.48%
2021-10-25,92.89,-2.35%
2021-10-11,92.3,1.35%
2021-09-27,86.59,-0.22%
2021-09-13,83.36,-3.67%
2021-08-30,86.84,0.73%
2021-08-16,85.82,-1.59%
2021-08-02,86.38,2.73%
2021-07-19,84.61,0.60%
2021-07-05,84.37,7.26%
2021-06-21,75.43,2.93%
2021-06-07,79.69,0.01%
2021-05-24,75.7,-0.37%
2021-05-10,75.84,-1.88%
2021-04-26,72.86,1.09%
2021-04-12,75.9,4.91%
2021-03-29,68.74,2.22%
2021-03-15,63.42,-1.34%
2021-03-01,66.97,8.46%
2021-02-15,58.51,-3.09%
2021-02-01,60.88,5.25%
2021-01-18,57.78,-2.30%
2021-01-04,60.44,-2.03%
2020-12-21,61.94,-0.15%
2020-12-07,57.79,1.08%
2020-11-23,55.08,3.70%
2020-11-09,54.27,0.19%
2020-10-26,53.5,-6.33%
2020-10-12,57.49,-1.01%
2020-09-28,55.87,-1.62%
2020-09-14,56.74,4.82%
2020-08-31,52.93,-3.71%
2020-08-17,52.41,1.83%
2020-08-03,52.45,-0.40%
2020-07-20,52.85,1.79%
2020-07-06,54.27,2.59%
2020-06-22,51.24,-0.40%
2020-06-08,49.04,-3.93%
2020-05-25,50.85,2.19%
2020-05-11,50.05,-1.21%
2020-04-27,48.98,-2.30%
2020-04-13,51.65,3.20%
2020-03-30,46.5,-0.86%
2020-03-16,42.97,-4.76%
2020-03-02,44.59,-4.23%
2020-02-17,51.47,-1.42%
2020-02-03,51.5,4.33%
2020-01-20,50.89,-1.92%
2020-01-06,51.02,1.28%
2019-12-23,50.1,-0.26%
2019-12-09,51.08,-0.58%
2019-11-25,52.61,-0.44%
