Date,Close Price,Percentage Change
2023-11-20,225.13,1.77%
2023-11-06,213.63,2.97%
2023-10-23,196.57,-3.51%
2023-10-09,204.59,-1.34%
2023-09-25,202.78,-1.77%
2023-09-11,214.61,-4.52%
2023-08-28,221.53,5.76%
2023-08-14,204.83,-1.85%
2023-07-31,214.59,-4.88%
2023-07-17,228.06,-0.55%
2023-07-03,209.59,-0.79%
2023-06-19,210.09,-0.79%
2023-06-05,215.31,1.07%
2023-05-22,215.44,2.41%
2023-05-08,201.81,2.14%
2023-04-24,198.37,-0.33%
2023-04-10,194.65,1.09%
2023-03-27,199.78,5.11%
2023-03-13,184.85,6.74%
2023-02-27,186.43,14.94%
2023-02-13,165.17,-1.11%
2023-01-30,171.04,3.96%
2023-01-16,151.25,1.16%
2023-01-02,140.51,5.97%
2022-12-19,129.44,0.91%
2022-12-05,131.11,-9.30%
2022-11-21,153.35,3.59%
2022-11-07,157.73,12.85%
2022-10-24,163.02,1.78%
2022-10-10,142.22,-5.37%
2022-09-26,143.84,-2.16%
2022-09-12,151.51,-6.81%
2022-08-29,153.69,-6.98%
2022-08-15,183.77,-3.22%
2022-08-01,190.17,3.34%
2022-07-18,182.47,9.02%
2022-07-04,175.5,4.34%
2022-06-20,185.92,13.88%
2022-06-06,178.45,-3.49%
2022-05-23,165.1,3.41%
2022-05-09,166.91,-1.64%
2022-04-25,175.94,2.63%
2022-04-11,189.41,-3.94%
2022-03-28,212.25,0.58%
2022-03-14,218.8,10.56%
2022-02-28,203.01,-2.44%
2022-02-14,196.84,-5.32%
2022-01-31,219.23,-1.31%
2022-01-17,218.63,-5.45%
2022-01-03,228.31,-10.16%
2021-12-20,253.14,0.08%
2021-12-06,266.03,2.98%
2021-11-22,284.21,-5.63%
2021-11-08,306.65,-0.20%
2021-10-25,299.69,2.44%
2021-10-11,291.66,7.04%
2021-09-27,275.26,-3.63%
2021-09-13,260.53,1.29%
2021-08-30,267.08,0.21%
2021-08-16,256.13,1.82%
2021-08-02,250.59,3.58%
2021-07-19,248.25,4.12%
2021-07-05,245.06,-1.27%
2021-06-21,241.87,-0.37%
2021-06-07,240.31,1.19%
2021-05-24,238.1,6.97%
2021-05-10,217.66,0.54%
2021-04-26,230.32,-1.37%
2021-04-12,231.91,0.27%
2021-03-29,218.72,4.61%
2021-03-15,212.2,0.00%
2021-03-01,210.76,-2.65%
2021-02-15,246.56,2.58%
2021-02-01,238.89,5.91%
2021-01-18,225.77,5.93%
2021-01-04,222.04,-0.22%
2020-12-21,225.78,-0.73%
2020-12-07,222.42,-1.52%
2020-11-23,247.63,-4.03%
2020-11-09,249.51,-4.09%
2020-10-26,232.27,-7.28%
2020-10-12,258.55,-2.79%
2020-09-28,247.85,2.11%
2020-09-14,242.78,-0.13%
2020-08-31,254.7,-6.05%
2020-08-17,207.53,7.27%
2020-08-03,201.05,3.18%
2020-07-20,188.49,0.38%
2020-07-06,198.88,3.30%
2020-06-22,183.17,-2.02%
2020-06-08,175.11,0.71%
2020-05-25,174.79,-1.72%
2020-05-11,171.33,-2.60%
2020-04-27,156.37,1.55%
2020-04-13,162.62,5.22%
2020-03-30,134.31,-8.01%
2020-03-16,139.35,-5.70%
2020-03-02,164.08,-3.71%
2020-02-17,189.5,-0.24%
2020-02-03,185.72,1.87%
2020-01-20,182.11,-0.07%
2020-01-06,180.2,8.44%
2019-12-23,164.98,0.26%
2019-12-09,161.13,1.97%
2019-11-25,162.89,0.05%
