Date,Close Price,Percentage Change
2023-11-20,217.71,4.65%
2023-11-06,196.65,0.82%
2023-10-23,179.69,-0.19%
2023-10-09,184.91,-1.32%
2023-09-25,191.68,-3.05%
2023-09-11,208.11,-1.50%
2023-08-28,223.4,0.00%
2023-08-14,226.65,-3.85%
2023-07-31,231.36,-3.07%
2023-07-17,211.8,-0.62%
2023-07-03,212.1,0.45%
2023-06-19,205.41,-6.63%
2023-06-05,217.31,1.87%
2023-05-22,203.63,-0.91%
2023-05-08,200.7,1.19%
2023-04-24,206.78,0.79%
2023-04-10,201.71,-4.57%
2023-03-27,212.43,7.54%
2023-03-13,201.05,-0.99%
2023-02-27,215.11,8.56%
2023-02-13,211.66,-0.58%
2023-01-30,206.01,-2.44%
2023-01-16,206.76,-3.44%
2023-01-02,213.0,11.82%
2022-12-19,189.06,2.36%
2022-12-05,179.54,-1.82%
2022-11-21,178.36,2.57%
2022-11-07,177.49,10.92%
2022-10-24,143.84,1.78%
2022-10-10,133.15,2.59%
2022-09-26,121.08,-7.76%
2022-09-12,144.29,-8.40%
2022-08-29,151.82,-7.73%
2022-08-15,162.92,-4.16%
2022-08-01,165.04,3.60%
2022-07-18,158.16,7.05%
2022-07-04,139.07,-0.55%
2022-06-20,141.53,3.46%
2022-06-06,127.0,-8.80%
2022-05-23,132.23,9.55%
2022-05-09,127.2,-14.57%
2022-04-25,148.84,-15.87%
2022-04-11,181.94,3.85%
2022-03-28,190.76,0.96%
2022-03-14,192.83,9.42%
2022-02-28,180.84,-10.24%
2022-02-14,209.03,-1.54%
2022-01-31,206.45,8.33%
2022-01-17,205.44,-9.08%
2022-01-03,215.5,7.04%
2021-12-20,204.22,6.02%
2021-12-06,205.06,3.31%
2021-11-22,199.21,-6.97%
2021-11-08,220.96,-1.56%
2021-10-25,207.03,-2.79%
2021-10-11,217.04,-4.13%
2021-09-27,226.0,2.08%
2021-09-13,213.36,1.46%
2021-08-30,218.17,-1.61%
2021-08-16,212.67,-9.29%
2021-08-02,231.33,2.14%
2021-07-19,221.52,1.74%
2021-07-05,239.59,1.23%
2021-06-21,248.38,4.65%
2021-06-07,247.28,-1.06%
2021-05-24,247.02,5.20%
2021-05-10,228.47,-2.97%
2021-04-26,234.31,-1.71%
2021-04-12,248.18,-1.66%
2021-03-29,252.96,3.30%
2021-03-15,255.82,-4.97%
2021-03-01,223.22,5.29%
2021-02-15,217.47,3.08%
2021-02-01,207.93,7.08%
2021-01-18,205.84,0.74%
2021-01-04,209.9,-1.94%
2020-12-21,217.15,-1.18%
2020-12-07,230.33,-1.02%
2020-11-23,216.5,8.46%
2020-11-09,187.11,18.62%
2020-10-26,144.39,-13.72%
2020-10-12,167.35,0.01%
2020-09-28,168.08,7.72%
2020-09-14,161.14,0.57%
2020-08-31,171.05,-2.70%
2020-08-17,167.5,-5.94%
2020-08-03,170.02,7.61%
2020-07-20,173.76,-1.08%
2020-07-06,178.44,-1.31%
2020-06-22,170.01,-9.10%
2020-06-08,189.51,-7.75%
2020-05-25,145.85,6.05%
2020-05-11,120.0,-10.07%
2020-04-27,133.37,3.40%
2020-04-13,154.0,1.42%
2020-03-30,124.52,-23.14%
2020-03-16,95.01,-44.18%
2020-03-02,262.33,-4.65%
2020-02-17,330.38,-2.39%
2020-02-03,334.76,5.81%
2020-01-20,321.14,-0.34%
2020-01-06,327.97,-0.85%
2019-12-23,328.19,0.65%
2019-12-09,339.65,-3.51%
2019-11-25,364.01,-1.39%
