Date,Close Price,Percentage Change
2023-11-20,57.4,0.24%
2023-11-06,56.72,-0.04%
2023-10-23,55.24,1.23%
2023-10-09,52.89,-0.47%
2023-09-25,55.98,-2.81%
2023-09-11,57.48,-0.67%
2023-08-28,58.84,-1.79%
2023-08-14,60.47,-0.36%
2023-07-31,60.23,-2.83%
2023-07-17,61.95,2.53%
2023-07-03,59.29,-0.76%
2023-06-19,60.72,-0.01%
2023-06-05,59.54,-1.13%
2023-05-22,59.33,-4.09%
2023-05-08,63.12,0.14%
2023-04-24,63.16,0.16%
2023-04-10,62.08,0.33%
2023-03-27,61.08,1.86%
2023-03-13,58.65,1.37%
2023-02-27,58.08,-0.67%
2023-02-13,58.75,0.84%
2023-01-30,58.46,-1.09%
2023-01-16,58.71,-2.20%
2023-01-02,61.95,-0.33%
2022-12-19,62.36,1.71%
2022-12-05,61.7,-1.18%
2022-11-21,60.83,2.54%
2022-11-07,59.5,3.48%
2022-10-24,58.95,8.58%
2022-10-10,53.34,0.86%
2022-09-26,54.35,-4.40%
2022-09-12,57.35,-4.46%
2022-08-29,58.9,-3.11%
2022-08-15,62.77,2.31%
2022-08-01,61.05,-1.23%
2022-07-18,59.33,-1.46%
2022-07-04,60.82,-1.93%
2022-06-20,60.72,6.84%
2022-06-06,58.73,-2.48%
2022-05-23,61.85,6.07%
2022-05-09,62.85,1.51%
2022-04-25,61.79,-0.98%
2022-04-11,62.18,1.86%
2022-03-28,60.12,2.18%
2022-03-14,57.04,3.76%
2022-02-28,59.38,-0.45%
2022-02-14,59.35,3.73%
2022-01-31,57.85,0.20%
2022-01-17,57.37,-1.53%
2022-01-03,57.26,1.89%
2021-12-20,55.25,0.85%
2021-12-06,53.41,5.93%
2021-11-22,50.6,-2.54%
2021-11-08,53.31,-0.40%
2021-10-25,53.09,3.53%
2021-10-11,51.31,0.67%
2021-09-27,49.93,-1.61%
2021-09-13,50.89,-2.10%
2021-08-30,53.03,1.94%
2021-08-16,52.94,-1.03%
2021-08-02,52.94,-0.68%
2021-07-19,53.29,1.08%
2021-07-05,50.9,0.52%
2021-06-21,50.77,1.78%
2021-06-07,52.1,-0.14%
2021-05-24,51.29,1.23%
2021-05-10,50.77,0.40%
2021-04-26,50.08,-0.90%
2021-04-12,49.8,0.94%
2021-03-29,48.71,-1.00%
2021-03-15,47.14,1.73%
2021-03-01,46.73,3.67%
2021-02-15,46.1,-1.14%
2021-02-01,45.68,3.12%
2021-01-18,44.61,-0.43%
2021-01-04,47.0,-6.86%
2020-12-21,49.17,-0.56%
2020-12-07,49.08,-0.15%
2020-11-23,48.11,0.06%
2020-11-09,48.79,8.09%
2020-10-26,43.87,-4.87%
2020-10-12,45.67,-1.54%
2020-09-28,45.06,1.31%
2020-09-14,45.69,-1.19%
2020-08-31,46.22,2.43%
2020-08-17,42.81,-2.41%
2020-08-03,43.29,1.19%
2020-07-20,43.91,3.57%
2020-07-06,40.89,0.60%
2020-06-22,39.46,-5.32%
2020-06-08,40.92,-7.11%
2020-05-25,41.89,3.66%
2020-05-11,38.82,-6.18%
2020-04-27,40.92,0.37%
2020-04-13,43.13,-1.92%
2020-03-30,39.33,2.38%
2020-03-16,34.37,-20.29%
2020-03-02,49.16,3.31%
2020-02-17,53.49,0.30%
2020-02-03,52.66,1.35%
2020-01-20,51.31,1.30%
2020-01-06,49.4,1.54%
2019-12-23,49.24,0.69%
2019-12-09,48.41,0.00%
2019-11-25,47.15,0.70%
