Date,Close Price,Percentage Change
2023-11-20,149.57,1.07%
2023-11-06,136.51,-3.32%
2023-10-23,133.27,-11.27%
2023-10-09,153.28,0.53%
2023-09-25,154.07,1.36%
2023-09-11,158.63,-0.34%
2023-08-28,166.06,-0.52%
2023-08-14,169.26,-2.17%
2023-07-31,177.24,-3.70%
2023-07-17,183.47,1.10%
2023-07-03,176.08,0.28%
2023-06-19,165.83,-5.20%
2023-06-05,167.0,0.21%
2023-05-22,168.06,0.37%
2023-05-08,163.48,-4.12%
2023-04-24,174.46,-7.89%
2023-04-10,187.13,2.27%
2023-03-27,188.21,4.26%
2023-03-13,181.23,2.89%
2023-02-27,180.15,3.07%
2023-02-13,176.2,-1.09%
2023-01-30,184.33,5.26%
2023-01-16,171.32,-2.21%
2023-01-02,172.11,2.94%
2022-12-19,170.24,-0.67%
2022-12-05,170.85,-6.20%
2022-11-21,175.54,1.98%
2022-11-07,169.79,7.54%
2022-10-24,159.29,0.98%
2022-10-10,154.06,1.60%
2022-09-26,153.92,-1.70%
2022-09-12,168.38,-11.06%
2022-08-29,186.8,-1.45%
2022-08-15,198.6,2.49%
2022-08-01,186.09,0.96%
2022-07-18,177.78,2.95%
2022-07-04,175.34,0.22%
2022-06-20,173.36,7.15%
2022-06-06,163.66,-6.71%
2022-05-23,172.63,6.72%
2022-05-09,166.95,-1.04%
2022-04-25,168.77,-3.83%
2022-04-11,176.31,-1.54%
2022-03-28,193.77,-4.04%
2022-03-14,206.09,7.79%
2022-02-28,197.28,0.21%
2022-02-14,194.9,-1.93%
2022-01-31,209.27,13.39%
2022-01-17,188.0,-2.22%
2022-01-03,203.1,1.78%
2021-12-20,197.54,2.71%
2021-12-06,194.67,4.17%
2021-11-22,191.12,-1.03%
2021-11-08,197.49,2.39%
2021-10-25,197.75,4.74%
2021-10-11,179.48,5.59%
2021-09-27,168.13,-3.47%
2021-09-13,176.04,-1.67%
2021-08-30,182.81,2.09%
2021-08-16,178.07,-0.38%
2021-08-02,177.48,0.65%
2021-07-19,195.03,0.51%
2021-07-05,197.13,1.13%
2021-06-21,189.47,3.96%
2021-06-07,187.25,-3.53%
2021-05-24,197.75,1.77%
2021-05-10,198.44,-0.51%
2021-04-26,186.96,13.91%
2021-04-12,164.81,2.14%
2021-03-29,157.08,1.96%
2021-03-15,146.09,-5.01%
2021-03-01,150.77,4.16%
2021-02-15,146.31,-1.74%
2021-02-01,149.81,6.05%
2021-01-18,144.89,0.06%
2021-01-04,144.35,-5.94%
2020-12-21,156.92,-1.71%
2020-12-07,153.47,0.69%
2020-11-23,153.92,3.13%
2020-11-09,148.25,-2.39%
2020-10-26,142.31,-8.60%
2020-10-12,158.01,-0.14%
2020-09-28,151.23,0.51%
2020-09-14,144.62,0.50%
2020-08-31,145.64,-0.97%
2020-08-17,143.14,-1.06%
2020-08-03,141.22,9.90%
2020-07-20,106.52,-0.17%
2020-07-06,103.57,0.62%
2020-06-22,96.6,-0.42%
2020-06-08,91.34,-4.85%
2020-05-25,89.75,4.17%
2020-05-11,81.08,-4.01%
2020-04-27,81.86,-8.27%
2020-04-13,91.52,4.11%
2020-03-30,80.17,-7.71%
2020-03-16,83.25,-0.82%
2020-03-02,83.73,4.91%
2020-02-17,90.79,-2.84%
2020-02-03,90.95,-0.39%
2020-01-20,102.89,-1.64%
2020-01-06,102.2,-0.73%
2019-12-23,104.9,1.31%
2019-12-09,104.62,0.93%
2019-11-25,105.6,0.34%
