Date,Close Price,Percentage Change
2023-11-20,249.97,0.16%
2023-11-06,244.73,0.68%
2023-10-23,228.78,-1.76%
2023-10-09,237.17,1.12%
2023-09-25,229.52,-2.16%
2023-09-11,240.56,-2.52%
2023-08-28,247.58,2.28%
2023-08-14,237.66,-0.59%
2023-07-31,238.03,1.37%
2023-07-17,238.29,-1.61%
2023-07-03,235.5,-0.43%
2023-06-19,228.63,0.28%
2023-06-05,222.67,-2.29%
2023-05-22,224.11,-3.56%
2023-05-08,230.01,-0.17%
2023-04-24,231.35,-0.56%
2023-04-10,232.63,3.55%
2023-03-27,224.12,2.00%
2023-03-13,216.1,0.58%
2023-02-27,222.44,1.92%
2023-02-13,222.23,-1.41%
2023-01-30,228.32,-0.57%
2023-01-16,222.54,0.56%
2023-01-02,216.03,4.81%
2022-12-19,204.21,-0.51%
2022-12-05,207.06,-4.12%
2022-11-21,212.11,1.42%
2022-11-07,202.93,4.07%
2022-10-24,207.23,9.96%
2022-10-10,180.78,-0.66%
2022-09-26,175.86,-3.43%
2022-09-12,191.35,-5.80%
2022-08-29,195.76,-2.53%
2022-08-15,210.67,0.88%
2022-08-01,213.31,1.77%
2022-07-18,211.17,1.74%
2022-07-04,201.16,2.20%
2022-06-20,203.08,8.16%
2022-06-06,197.15,-6.18%
2022-05-23,210.36,6.96%
2022-05-09,196.5,-1.77%
2022-04-25,210.2,2.38%
2022-04-11,209.87,-1.93%
2022-03-28,223.25,3.63%
2022-03-14,216.1,11.39%
2022-02-28,197.54,-8.66%
2022-02-14,219.63,-0.73%
2022-01-31,224.89,0.17%
2022-01-17,202.77,-4.07%
2022-01-03,213.63,0.12%
2021-12-20,213.3,2.24%
2021-12-06,210.13,8.70%
2021-11-22,194.62,-1.60%
2021-11-08,208.47,-2.11%
2021-10-25,208.16,-8.42%
2021-10-11,227.05,0.31%
2021-09-27,226.53,-0.49%
2021-09-13,217.97,-1.40%
2021-08-30,221.27,-3.26%
2021-08-16,227.41,-0.42%
2021-08-02,236.96,-2.03%
2021-07-19,244.44,0.36%
2021-07-05,234.08,-0.07%
2021-06-21,232.95,3.00%
2021-06-07,230.64,2.09%
2021-05-24,223.12,0.23%
2021-05-10,222.44,-2.23%
2021-04-26,228.93,1.55%
2021-04-12,221.92,1.75%
2021-03-29,212.56,1.56%
2021-03-15,202.8,-7.78%
2021-03-01,211.14,1.42%
2021-02-15,200.67,-2.34%
2021-02-01,204.32,8.03%
2021-01-18,197.71,0.21%
2021-01-04,210.85,-1.50%
2020-12-21,204.25,-1.24%
2020-12-07,201.84,-3.03%
2020-11-23,206.5,3.49%
2020-11-09,205.68,6.05%
2020-10-26,177.56,-8.23%
2020-10-12,195.69,-3.09%
2020-09-28,196.86,2.13%
2020-09-14,197.99,0.96%
2020-08-31,199.99,-5.12%
2020-08-17,199.47,3.97%
2020-08-03,191.59,3.13%
2020-07-20,190.41,0.03%
2020-07-06,187.87,-1.59%
2020-06-22,184.67,-1.52%
2020-06-08,187.59,-3.68%
2020-05-25,190.5,2.29%
2020-05-11,178.73,-0.86%
2020-04-27,171.02,4.93%
2020-04-13,165.15,-2.39%
2020-03-30,147.91,-6.01%
2020-03-16,143.02,-16.49%
2020-03-02,179.58,1.43%
2020-02-17,203.4,-0.56%
2020-02-03,197.2,1.89%
2020-01-20,199.4,0.15%
2020-01-06,188.48,2.20%
2019-12-23,184.21,0.74%
2019-12-09,180.08,1.63%
2019-11-25,179.47,2.81%
