Date,Close Price,Percentage Change
2023-11-20,61400.0,2.68%
2023-11-06,59400.0,-0.17%
2023-10-23,63600.0,-3.20%
2023-10-09,68900.0,-0.72%
2023-09-25,68000.0,0.00%
2023-09-11,71000.0,-1.66%
2023-08-24,67000.0,-6.94%
2023-08-10,74000.0,-4.39%
2023-07-27,78500.0,-2.24%
2023-07-13,81000.0,1.50%
2023-06-29,79200.0,-2.58%
2023-06-15,80000.0,0.88%
2023-06-01,77700.0,0.39%
2023-05-18,78500.0,1.29%
2023-05-04,78100.0,-1.26%
2023-04-17,79400.0,-0.75%
2023-04-03,83500.0,1.58%
2023-03-20,81600.0,-2.51%
2023-03-06,83700.0,0.36%
2023-02-20,86000.0,2.63%
2023-02-06,84000.0,-0.94%
2023-01-16,81900.0,-0.49%
2022-12-30,80600.0,1.00%
2022-12-16,80000.0,0.63%
2022-12-02,80800.0,7.88%
2022-11-18,77000.0,4.62%
2022-11-04,74000.0,-9.54%
2022-10-21,83500.0,-1.76%
2022-10-07,84500.0,-5.99%
2022-09-23,93955.0,-3.37%
2022-09-09,89093.0,-2.39%
2022-08-24,88300.0,9.20%
2022-08-10,79370.0,6.95%
2022-07-27,67961.0,8.73%
2022-07-13,60520.0,2.87%
2022-06-29,63992.0,4.03%
2022-06-15,66572.0,-6.80%
2022-06-01,72723.0,-1.74%
2022-05-18,74310.0,-11.57%
2022-05-04,83339.0,9.80%
2022-04-18,79172.0,7.84%
2022-04-01,71929.0,-1.89%
2022-03-18,75402.0,4.97%
2022-03-04,78279.0,-3.90%
2022-02-18,83041.0,5.82%
2022-01-28,78577.0,5.18%
2022-01-14,75402.0,0.66%
2021-12-30,63496.0,-5.04%
2021-12-16,66770.0,26.50%
2021-12-02,52190.0,-3.11%
2021-11-18,58296.0,9.43%
2021-11-04,52092.0,-0.75%
2021-10-21,44312.0,-1.96%
2021-10-07,44312.0,0.90%
2021-09-23,44805.0,-5.21%
2021-09-09,47857.0,3.62%
2021-08-24,43820.0,0.00%
2021-08-10,45149.0,9.69%
2021-07-27,40570.0,3.80%
2021-07-13,50975.0,-2.97%
2021-06-29,53022.0,-0.73%
2021-06-15,53607.0,7.63%
2021-06-01,51268.0,-5.05%
2021-05-18,52632.0,-1.28%
2021-05-04,54582.0,0.00%
2021-04-15,51170.0,-8.54%
2021-04-01,55946.0,2.87%
2021-03-18,56434.0,-1.86%
2021-03-04,57018.0,0.00%
2021-02-18,58286.0,6.79%
2021-01-28,52632.0,1.89%
2021-01-14,50683.0,18.18%
2020-12-30,40156.0,-3.74%
2020-12-16,40156.0,3.39%
2020-12-02,39279.0,7.47%
2020-11-18,36936.0,-2.30%
2020-11-04,38045.0,-1.00%
2020-10-21,38479.0,-0.25%
2020-10-07,38865.0,-2.89%
2020-09-17,40311.0,-7.11%
2020-09-03,37081.0,27.32%
2020-08-13,27967.0,10.69%
2020-07-30,25652.0,-0.38%
2020-07-16,25845.0,0.75%
2020-07-02,25942.0,0.00%
2020-06-18,25652.0,3.50%
2020-06-04,26038.0,14.89%
2020-05-21,22856.0,4.87%
2020-05-07,21023.0,-9.17%
2020-04-21,18130.0,4.44%
2020-04-07,17359.0,-10.00%
2020-03-23,20541.0,-14.80%
2020-03-09,23724.0,-7.52%
2020-02-18,25942.0,-3.93%
2020-02-04,28063.0,4.67%
2020-01-14,28256.0,-2.33%
2019-12-30,28449.0,4.24%
2019-12-16,27292.0,0.00%
2019-12-02,27195.0,-2.43%
