Date,Close Price,Percentage Change
2023-11-20,55600.0,-0.71%
2023-11-06,58500.0,1.56%
2023-10-23,60200.0,-6.67%
2023-10-09,65000.0,-6.88%
2023-09-25,68100.0,-5.42%
2023-09-11,69800.0,1.45%
2023-08-24,68000.0,-2.30%
2023-08-10,68500.0,-0.72%
2023-07-27,71100.0,-0.97%
2023-07-13,64500.0,3.20%
2023-06-29,60000.0,0.67%
2023-06-15,60000.0,3.63%
2023-06-01,55300.0,3.56%
2023-05-18,56000.0,-0.53%
2023-05-04,54900.0,1.29%
2023-04-17,49200.0,1.65%
2023-04-03,47000.0,-5.53%
2023-03-20,49450.0,0.92%
2023-03-06,49000.0,-2.00%
2023-02-20,53300.0,-6.33%
2023-02-06,56900.0,-1.73%
2023-01-16,57500.0,1.95%
2022-12-30,60200.0,2.03%
2022-12-16,62400.0,-1.73%
2022-12-02,62500.0,17.92%
2022-11-18,53000.0,12.77%
2022-11-04,51500.0,-7.04%
2022-10-21,57500.0,0.00%
2022-10-07,61000.0,-1.61%
2022-09-23,61900.0,-2.52%
2022-09-09,61900.0,-1.59%
2022-08-24,64000.0,0.95%
2022-08-10,62000.0,-4.32%
2022-07-27,63500.0,1.76%
2022-07-13,60500.0,2.37%
2022-06-29,59900.0,-3.39%
2022-06-15,67000.0,-0.74%
2022-06-01,66200.0,-1.19%
2022-05-18,64037.0,-2.24%
2022-05-04,70392.0,-3.74%
2022-04-18,72348.0,-1.07%
2022-04-01,73423.0,0.67%
2022-03-18,73228.0,-1.45%
2022-03-04,76747.0,-1.63%
2022-02-18,80169.0,1.99%
2022-01-28,75281.0,0.00%
2022-01-14,74890.0,0.66%
2021-12-30,75281.0,-0.65%
2021-12-16,75867.0,1.84%
2021-12-02,72445.0,-0.14%
2021-11-18,73228.0,-0.53%
2021-11-04,73325.0,2.46%
2021-10-21,72934.0,2.75%
2021-10-07,71859.0,0.69%
2021-09-23,70686.0,0.98%
2021-09-09,69904.0,-3.51%
2021-08-24,66579.0,-2.01%
2021-08-10,68926.0,-0.84%
2021-07-27,70392.0,-1.23%
2021-07-13,68828.0,-6.13%
2021-06-29,77627.0,1.15%
2021-06-15,73677.0,1.72%
2021-06-01,69744.0,0.28%
2021-05-18,68113.0,-2.07%
2021-05-04,69552.0,1.97%
2021-04-15,69072.0,-0.83%
2021-04-01,70512.0,1.10%
2021-03-18,69552.0,3.57%
2021-03-04,60438.0,0.00%
2021-02-18,58136.0,8.80%
2021-01-28,50653.0,-5.38%
2021-01-14,56313.0,1.38%
2020-12-30,53531.0,-0.36%
2020-12-16,54107.0,2.55%
2020-12-02,53819.0,2.19%
2020-11-18,49598.0,-3.00%
2020-11-04,47439.0,6.80%
2020-10-21,44849.0,-1.78%
2020-10-07,45760.0,-0.94%
2020-09-17,47391.0,3.67%
2020-09-03,45329.0,2.94%
2020-08-13,42019.0,-0.45%
2020-07-30,40292.0,-6.67%
2020-07-16,43650.0,3.03%
2020-07-02,42006.0,-0.17%
2020-06-18,40264.0,-1.25%
2020-06-04,43747.0,11.67%
2020-05-21,38813.0,-4.64%
2020-05-07,38451.0,-1.12%
2020-04-21,38451.0,4.95%
2020-04-07,34388.0,12.72%
2020-03-23,34569.0,-8.01%
2020-03-09,41353.0,-1.72%
2020-02-18,44110.0,8.38%
2020-02-04,39394.0,9.70%
2020-01-14,35911.0,2.06%
2019-12-30,35041.0,-3.40%
2019-12-16,37870.0,-1.51%
2019-12-02,39539.0,-2.51%
