Date,Close Price,Percentage Change
2023-11-20,78300.0,-0.89%
2023-11-06,79000.0,3.13%
2023-10-23,80600.0,-7.25%
2023-10-09,86600.0,-3.02%
2023-09-25,89500.0,-1.47%
2023-09-11,84500.0,2.84%
2023-08-24,82356.0,2.40%
2023-08-10,82034.0,2.41%
2023-07-27,78978.0,-0.51%
2023-07-13,79863.0,4.31%
2023-06-29,76083.0,-1.05%
2023-06-15,7769.0,-89.68%
2023-06-01,73992.0,-2.85%
2023-05-18,74796.0,0.87%
2023-05-04,73992.0,-1.18%
2023-04-17,78174.0,-2.31%
2023-04-03,82437.0,0.49%
2023-03-20,82839.0,-4.72%
2023-03-06,83402.0,-0.29%
2023-02-20,87664.0,2.93%
2023-02-06,85251.0,-0.56%
2023-01-16,82839.0,-1.43%
2022-12-30,81632.0,0.00%
2022-12-16,85573.0,0.38%
2022-12-02,89434.0,6.11%
2022-11-18,91927.0,0.35%
2022-11-04,89273.0,1.84%
2022-10-21,86217.0,-2.37%
2022-10-07,82034.0,-7.27%
2022-09-23,90479.0,1.35%
2022-09-09,91686.0,-2.65%
2022-08-24,94340.0,4.36%
2022-08-10,89192.0,-0.98%
2022-07-27,84206.0,1.65%
2022-07-13,77450.0,0.52%
2022-06-29,91600.0,5.22%
2022-06-15,97081.0,862.06%
2022-06-01,94732.0,11.62%
2022-05-18,82205.0,-3.58%
2022-05-04,84554.0,3.35%
2022-04-18,90269.0,4.63%
2022-04-01,85885.0,-0.90%
2022-03-18,85259.0,-3.54%
2022-03-04,92383.0,0.68%
2022-02-18,91600.0,5.40%
2022-01-28,85337.0,1.49%
2022-01-14,82597.0,-1.86%
2021-12-30,75942.0,1.89%
2021-12-16,77195.0,-0.10%
2021-12-02,77038.0,-5.29%
2021-11-18,89095.0,-4.37%
2021-11-04,91678.0,-6.32%
2021-10-21,87842.0,0.81%
2021-10-07,86903.0,14.43%
2021-09-23,70931.0,-2.16%
2021-09-09,69365.0,-0.90%
2021-08-24,67330.0,-6.93%
2021-08-10,75159.0,3.23%
2021-07-27,69679.0,0.00%
2021-07-13,7163.0,-89.34%
2021-06-29,72810.0,1.09%
2021-06-15,67318.0,0.68%
2021-06-01,63523.0,0.96%
2021-05-18,62233.0,-3.87%
2021-05-04,63220.0,-3.14%
2021-04-15,65269.0,-3.37%
2021-04-01,68760.0,0.33%
2021-03-18,69671.0,-0.97%
2021-03-04,68988.0,1.91%
2021-02-18,68380.0,11.23%
2021-01-28,55782.0,-16.00%
2021-01-14,69898.0,-0.65%
2020-12-30,65952.0,2.60%
2020-12-16,65117.0,-0.35%
2020-12-02,63751.0,1.57%
2020-11-18,60715.0,9.29%
2020-11-04,54568.0,0.00%
2020-10-21,54871.0,-3.86%
2020-10-07,56237.0,0.82%
2020-09-17,54416.0,-0.42%
2020-09-03,57528.0,6.76%
2020-08-13,55099.0,4.46%
2020-07-30,49710.0,-7.88%
2020-07-16,54795.0,0.72%
2020-07-02,51005.0,-2.62%
2020-06-18,5223.0,-90.06%
2020-06-04,56431.0,5.55%
2020-05-21,54261.0,4.90%
2020-05-07,49703.0,9.40%
2020-04-21,46664.0,-3.73%
2020-04-07,45506.0,15.20%
2020-03-23,38995.0,-9.11%
2020-03-09,52162.0,-8.73%
2020-02-18,62219.0,0.47%
2020-02-04,59325.0,-13.59%
2020-01-14,68658.0,-2.26%
2019-12-30,69743.0,0.63%
2019-12-16,71045.0,-1.60%
2019-12-02,70901.0,-5.86%
