Date,Close Price,Percentage Change
2023-11-20,103500.0,-2.45%
2023-11-06,105600.0,8.87%
2023-10-23,99900.0,-1.28%
2023-10-09,95600.0,-1.65%
2023-09-25,96100.0,-1.94%
2023-09-11,99000.0,3.02%
2023-08-24,96300.0,-3.22%
2023-08-10,100600.0,0.80%
2023-07-27,96300.0,0.00%
2023-07-13,93900.0,0.21%
2023-06-29,93800.0,0.00%
2023-06-15,96800.0,0.73%
2023-06-01,97000.0,0.31%
2023-05-18,97800.0,1.98%
2023-05-04,95500.0,-0.42%
2023-04-17,98000.0,-3.16%
2023-04-03,102600.0,-1.25%
2023-03-20,103100.0,4.04%
2023-03-06,96300.0,2.45%
2023-02-20,101700.0,0.69%
2023-02-06,107500.0,-4.87%
2023-01-16,107300.0,-0.74%
2022-12-30,108500.0,0.84%
2022-12-16,110100.0,4.56%
2022-12-02,102900.0,1.68%
2022-11-18,100700.0,3.18%
2022-11-04,96100.0,-9.34%
2022-10-21,106500.0,-0.47%
2022-10-07,113600.0,3.37%
2022-09-23,112800.0,-1.91%
2022-09-09,115000.0,-4.56%
2022-08-24,123000.0,-0.24%
2022-08-10,125100.0,-0.56%
2022-07-27,124600.0,0.48%
2022-07-13,124800.0,0.24%
2022-06-29,131000.0,2.75%
2022-06-15,122900.0,-2.31%
2022-06-01,129600.0,5.02%
2022-05-18,124000.0,-1.67%
2022-05-04,129000.0,0.31%
2022-04-18,135000.0,-1.10%
2022-04-01,136500.0,-4.14%
2022-03-18,142700.0,3.78%
2022-03-04,139400.0,-3.93%
2022-02-18,140100.0,7.94%
2022-01-28,121100.0,0.08%
2022-01-14,121000.0,-0.66%
2021-12-30,124000.0,2.73%
2021-12-16,121100.0,1.34%
2021-12-02,119700.0,-8.56%
2021-11-18,125600.0,-1.34%
2021-11-04,127400.0,-4.07%
2021-10-21,131800.0,-0.53%
2021-10-07,127300.0,0.32%
2021-09-23,122000.0,-2.48%
2021-09-09,124000.0,-0.80%
2021-08-24,119800.0,2.57%
2021-08-10,117500.0,2.71%
2021-07-27,113800.0,3.45%
2021-07-13,117800.0,0.00%
2021-06-29,115300.0,1.14%
2021-06-15,115600.0,2.94%
2021-06-01,106000.0,-5.36%
2021-05-18,112100.0,-5.64%
2021-05-04,123000.0,-2.77%
2021-04-15,129000.0,-2.71%
2021-04-01,129700.0,1.49%
2021-03-18,133000.0,-1.63%
2021-03-04,135300.0,3.13%
2021-02-18,129000.0,0.00%
2021-01-28,121700.0,-5.51%
2021-01-14,129500.0,4.86%
2020-12-30,124500.0,1.97%
2020-12-16,124800.0,5.49%
2020-12-02,117500.0,-0.42%
2020-11-18,112100.0,-0.71%
2020-11-04,105300.0,2.73%
2020-10-21,103800.0,-0.19%
2020-10-07,103000.0,-2.37%
2020-09-17,105900.0,0.38%
2020-09-03,106500.0,7.79%
2020-08-13,100600.0,0.60%
2020-07-30,95100.0,-11.29%
2020-07-16,107300.0,0.00%
2020-07-02,106900.0,-0.28%
2020-06-18,109000.0,-3.96%
2020-06-04,113800.0,0.71%
2020-05-21,113600.0,0.71%
2020-05-07,112200.0,0.00%
2020-04-21,113000.0,3.20%
2020-04-07,97200.0,4.29%
2020-03-23,95800.0,-0.21%
2020-03-09,112100.0,-6.11%
2020-02-18,128400.0,0.08%
2020-02-04,125400.0,-14.40%
2020-01-14,145800.0,0.21%
2019-12-30,143500.0,0.70%
2019-12-16,142800.0,-0.28%
2019-12-02,144900.0,1.05%
