Date,Close Price,Percentage Change
2023-11-20,25950.0,-2.81%
2023-11-06,24650.0,1.02%
2023-10-23,24150.0,-2.62%
2023-10-09,25400.0,1.60%
2023-09-25,25300.0,-5.95%
2023-09-11,26685.0,-0.71%
2023-08-24,26733.0,-1.03%
2023-08-10,27448.0,-1.03%
2023-07-27,27591.0,1.23%
2023-07-13,26685.0,2.19%
2023-06-29,25637.0,-14.19%
2023-06-15,27067.0,0.71%
2023-06-01,26733.0,-0.18%
2023-05-18,27591.0,1.40%
2023-05-04,26781.0,-1.40%
2023-04-17,26400.0,-8.43%
2023-04-03,26304.0,6.15%
2023-03-20,24827.0,2.16%
2023-03-06,25685.0,-1.28%
2023-02-20,25589.0,1.13%
2023-02-06,25208.0,-1.31%
2023-01-16,25256.0,-1.12%
2022-12-30,25494.0,4.49%
2022-12-16,24684.0,-1.34%
2022-12-02,26161.0,3.20%
2022-11-18,24779.0,9.24%
2022-11-04,22968.0,-7.13%
2022-10-21,23350.0,-2.78%
2022-10-07,24875.0,-3.51%
2022-09-23,27972.0,0.34%
2022-09-09,28138.0,-2.21%
2022-08-24,27230.0,-1.15%
2022-08-10,25869.0,1.24%
2022-07-27,24689.0,1.65%
2022-07-13,24507.0,0.37%
2022-06-29,25233.0,3.73%
2022-06-15,25415.0,-5.08%
2022-06-01,24416.0,-0.74%
2022-05-18,25415.0,-9.97%
2022-05-04,30770.0,8.48%
2022-04-18,32222.0,5.97%
2022-04-01,31678.0,4.18%
2022-03-18,26867.0,1.02%
2022-03-04,26958.0,0.00%
2022-02-18,26504.0,-3.47%
2022-01-28,27593.0,4.83%
2022-01-14,26731.0,0.86%
2021-12-30,26776.0,1.37%
2021-12-16,26458.0,-1.19%
2021-12-02,26822.0,-1.50%
2021-11-18,28546.0,-2.63%
2021-11-04,28228.0,-1.58%
2021-10-21,26867.0,3.14%
2021-10-07,26504.0,1.39%
2021-09-23,26322.0,5.84%
2021-09-09,24507.0,-8.16%
2021-08-24,22919.0,-1.36%
2021-08-10,23599.0,9.24%
2021-07-27,20652.0,0.42%
2021-07-13,19010.0,-0.90%
2021-06-29,20306.0,0.86%
2021-06-15,21257.0,16.31%
2021-06-01,17455.0,-0.98%
2021-05-18,17325.0,-2.20%
2021-05-04,17627.0,-2.40%
2021-04-15,18794.0,-1.14%
2021-04-01,18664.0,0.46%
2021-03-18,19399.0,1.13%
2021-03-04,17714.0,-0.97%
2021-02-18,17584.0,-1.21%
2021-01-28,17757.0,-8.26%
2021-01-14,19788.0,-2.14%
2020-12-30,20047.0,10.48%
2020-12-16,18362.0,4.42%
2020-12-02,17023.0,0.00%
2020-11-18,17325.0,5.52%
2020-11-04,16634.0,-0.26%
2020-10-21,17185.0,-6.34%
2020-10-07,15940.0,-3.76%
2020-09-17,16812.0,3.06%
2020-09-03,16397.0,12.86%
2020-08-13,14819.0,-0.84%
2020-07-30,13947.0,-8.94%
2020-07-16,16023.0,-0.77%
2020-07-02,16522.0,-2.92%
2020-06-18,17351.0,-6.70%
2020-06-04,17766.0,-1.83%
2020-05-21,19427.0,-0.43%
2020-05-07,20174.0,-2.41%
2020-04-21,22001.0,6.00%
2020-04-07,20755.0,0.00%
2020-03-23,20589.0,0.81%
2020-03-09,20755.0,-3.47%
2020-02-18,21585.0,4.00%
2020-02-04,23246.0,1.45%
2020-01-14,20755.0,-1.77%
2019-12-30,21004.0,5.64%
2019-12-16,19925.0,-1.03%
2019-12-02,21585.0,1.17%
