Date,Close Price,Percentage Change
2023-11-20,26800.0,3.08%
2023-11-06,25600.0,-2.66%
2023-10-23,28000.0,-5.41%
2023-10-09,23900.0,3.02%
2023-09-25,23400.0,-1.27%
2023-09-11,24600.0,-0.81%
2023-08-24,24000.0,-7.34%
2023-08-10,24900.0,-0.40%
2023-07-27,26300.0,0.77%
2023-07-13,26500.0,9.05%
2023-06-29,23600.0,1.29%
2023-06-15,22900.0,-0.43%
2023-06-01,23200.0,3.11%
2023-05-18,22000.0,-0.45%
2023-05-04,21300.0,1.91%
2023-04-17,21000.0,0.00%
2023-04-03,21500.0,6.44%
2023-03-20,19900.0,-1.97%
2023-03-06,20400.0,2.00%
2023-02-20,21800.0,6.86%
2023-02-06,20700.0,-8.41%
2023-01-16,22300.0,3.24%
2022-12-30,20000.0,-3.85%
2022-12-16,22600.0,10.78%
2022-12-02,21600.0,8.54%
2022-11-18,18900.0,-16.00%
2022-11-04,24200.0,1.26%
2022-10-21,24600.0,-6.46%
2022-10-07,26800.0,-12.13%
2022-09-23,29300.0,1.03%
2022-09-09,30000.0,-6.54%
2022-08-24,33500.0,-0.89%
2022-08-10,33500.0,0.30%
2022-07-27,32300.0,-0.92%
2022-07-13,31400.0,27.64%
2022-06-29,24800.0,4.20%
2022-06-15,26400.0,-12.00%
2022-06-01,30300.0,-1.30%
2022-05-18,30000.0,-3.54%
2022-05-04,35500.0,16.01%
2022-04-18,42100.0,12.27%
2022-04-01,35900.0,7.81%
2022-03-18,33200.0,0.61%
2022-03-04,32000.0,0.63%
2022-02-18,32900.0,3.46%
2022-01-28,30000.0,-1.64%
2022-01-14,31300.0,-3.69%
2021-12-30,31800.0,0.63%
2021-12-16,32400.0,-0.31%
2021-12-02,34900.0,0.00%
2021-11-18,37400.0,2.19%
2021-11-04,37900.0,-0.52%
2021-10-21,37800.0,-0.26%
2021-10-07,37000.0,7.87%
2021-09-23,35000.0,-1.41%
2021-09-09,32600.0,4.15%
2021-08-24,29500.0,-11.94%
2021-08-10,31800.0,2.25%
2021-07-27,29500.0,4.24%
2021-07-13,28000.0,-7.89%
2021-06-29,33000.0,-5.17%
2021-06-15,34600.0,2.98%
2021-06-01,30700.0,-2.85%
2021-05-18,30700.0,-6.12%
2021-05-04,30800.0,-10.72%
2021-04-15,37800.0,-5.03%
2021-04-01,40300.0,1.77%
2021-03-18,43400.0,-1.36%
2021-03-04,43500.0,9.02%
2021-02-18,40900.0,4.87%
2021-01-28,33800.0,-28.09%
2021-01-14,43600.0,24.57%
2020-12-30,33300.0,-2.06%
2020-12-16,32600.0,1.24%
2020-12-02,32700.0,6.51%
2020-11-18,27700.0,-2.12%
2020-11-04,27800.0,2.96%
2020-10-21,27800.0,0.36%
2020-10-07,28100.0,1.81%
2020-09-17,27100.0,0.00%
2020-09-03,28000.0,4.87%
2020-08-13,26500.0,1.92%
2020-07-30,25200.0,-10.32%
2020-07-16,28600.0,-2.39%
2020-07-02,27900.0,0.00%
2020-06-18,27800.0,-1.07%
2020-06-04,30000.0,1.35%
2020-05-21,30000.0,10.29%
2020-05-07,27900.0,8.14%
2020-04-21,24400.0,-3.94%
2020-04-07,22600.0,17.10%
2020-03-23,19000.0,-13.24%
2020-03-09,23700.0,-11.90%
2020-02-18,28700.0,2.87%
2020-02-04,24200.0,-6.20%
2020-01-14,23700.0,-3.27%
2019-12-30,25000.0,0.00%
2019-12-16,25900.0,4.44%
2019-12-02,25500.0,-13.27%
