Date,Close Price,Percentage Change
2023-11-20,69300.0,0.87%
2023-11-06,71000.0,5.03%
2023-10-23,70200.0,-6.65%
2023-10-09,73700.0,-2.51%
2023-09-25,77600.0,-1.65%
2023-09-11,79500.0,2.19%
2023-08-24,74700.0,1.49%
2023-08-10,73100.0,-0.27%
2023-07-27,73262.0,4.27%
2023-07-13,70746.0,3.69%
2023-06-29,69585.0,7.47%
2023-06-15,64165.0,1.22%
2023-06-01,63971.0,-1.49%
2023-05-18,66972.0,-1.14%
2023-05-04,66391.0,-2.70%
2023-04-17,69391.0,-3.63%
2023-04-03,72004.0,-0.27%
2023-03-20,71907.0,-3.38%
2023-03-06,72585.0,-0.27%
2023-02-20,75004.0,2.92%
2023-02-06,74908.0,-2.52%
2023-01-16,76843.0,-1.61%
2022-12-30,73649.0,-0.13%
2022-12-16,74162.0,-2.50%
2022-12-02,79867.0,2.19%
2022-11-18,73211.0,-1.79%
2022-11-04,76064.0,2.56%
2022-10-21,73211.0,4.05%
2022-10-07,66366.0,-3.46%
2022-09-23,72926.0,0.92%
2022-09-09,72166.0,0.53%
2022-08-24,73877.0,7.02%
2022-08-10,68933.0,-1.23%
2022-07-27,68648.0,-1.09%
2022-07-13,68933.0,2.55%
2022-06-29,66439.0,2.41%
2022-06-15,59271.0,-9.15%
2022-06-01,66071.0,0.00%
2022-05-18,64601.0,1.15%
2022-05-04,66623.0,-1.36%
2022-04-18,70758.0,-0.39%
2022-04-01,75077.0,8.64%
2022-03-18,69839.0,-2.56%
2022-03-04,71585.0,-1.27%
2022-02-18,74066.0,-1.71%
2022-01-28,76363.0,0.60%
2022-01-14,77834.0,1.07%
2021-12-30,77097.0,0.71%
2021-12-16,78272.0,-0.46%
2021-12-02,78995.0,-0.11%
2021-11-18,79537.0,-1.79%
2021-11-04,79899.0,-2.43%
2021-10-21,80531.0,-1.00%
2021-10-07,8026.0,-90.09%
2021-09-23,82068.0,5.09%
2021-09-09,77007.0,-0.83%
2021-08-24,76676.0,-3.36%
2021-08-10,79430.0,2.64%
2021-07-27,77742.0,1.86%
2021-07-13,74899.0,-3.10%
2021-06-29,80852.0,0.44%
2021-06-15,82540.0,3.57%
2021-06-01,78893.0,-0.66%
2021-05-18,76348.0,-4.60%
2021-05-04,80384.0,-7.94%
2021-04-15,86966.0,-0.80%
2021-04-01,88634.0,2.54%
2021-03-18,89950.0,-0.29%
2021-03-04,90740.0,-1.15%
2021-02-18,95654.0,0.18%
2021-01-28,84333.0,-12.87%
2021-01-14,99252.0,2.45%
2020-12-30,94605.0,-1.27%
2020-12-16,97040.0,1.73%
2020-12-02,94779.0,-1.36%
2020-11-18,95127.0,1.77%
2020-11-04,93909.0,0.56%
2020-10-21,92518.0,-0.93%
2020-10-07,93909.0,3.42%
2020-09-17,88808.0,-0.16%
2020-09-03,88950.0,8.25%
2020-08-13,83030.0,1.39%
2020-07-30,77751.0,-4.55%
2020-07-16,83814.0,1.38%
2020-07-02,80604.0,-1.65%
2020-06-18,81110.0,-5.81%
2020-06-04,82941.0,2.61%
2020-05-21,80969.0,1.77%
2020-05-07,72802.0,2.89%
2020-04-21,68155.0,-2.22%
2020-04-07,69352.0,8.00%
2020-03-23,58931.0,-13.71%
2020-03-09,68296.0,-7.18%
2020-02-18,74281.0,-1.58%
2020-02-04,73928.0,-13.22%
2020-01-14,82941.0,-0.59%
2019-12-30,82025.0,-0.43%
2019-12-16,82866.0,0.51%
2019-12-02,82587.0,-3.03%
