Date,Close Price,Percentage Change
2023-11-20,58.93,0.56%
2023-11-06,56.49,-2.44%
2023-10-23,56.21,-9.35%
2023-10-09,64.32,0.74%
2023-09-25,65.89,-2.14%
2023-09-11,67.21,2.10%
2023-08-28,65.86,-1.70%
2023-08-14,67.02,-3.02%
2023-07-31,71.5,-2.80%
2023-07-17,71.2,-1.70%
2023-07-03,71.95,-2.33%
2023-06-19,72.03,-5.35%
2023-06-05,72.6,0.50%
2023-05-22,71.44,0.37%
2023-05-08,67.86,9.90%
2023-04-24,65.36,1.98%
2023-04-10,65.2,3.82%
2023-03-27,65.54,1.62%
2023-03-13,64.13,-6.44%
2023-02-27,69.99,5.07%
2023-02-13,69.12,3.72%
2023-01-30,66.67,5.42%
2023-01-16,60.92,-1.86%
2023-01-02,61.54,8.24%
2022-12-19,56.81,-1.10%
2022-12-05,59.99,1.09%
2022-11-21,57.75,0.24%
2022-11-07,59.99,8.45%
2022-10-24,53.89,2.23%
2022-10-10,49.87,2.38%
2022-09-26,48.47,-2.89%
2022-09-12,52.8,1.15%
2022-08-29,53.32,4.69%
2022-08-15,53.79,-4.66%
2022-08-01,54.55,2.95%
2022-07-18,50.64,3.44%
2022-07-04,51.73,1.58%
2022-06-20,54.23,-5.44%
2022-06-06,60.11,-3.55%
2022-05-23,60.37,3.00%
2022-05-09,58.81,12.50%
2022-04-25,57.5,3.66%
2022-04-11,54.26,0.16%
2022-03-28,54.41,0.44%
2022-03-14,53.67,6.90%
2022-02-28,49.7,-19.51%
2022-02-14,64.78,1.54%
2022-01-31,60.13,0.42%
2022-01-17,61.64,-3.82%
2022-01-03,63.04,8.83%
2021-12-20,60.07,1.95%
2021-12-06,63.63,4.25%
2021-11-22,71.27,-7.38%
2021-11-08,75.32,0.34%
2021-10-25,73.48,4.42%
2021-10-11,71.69,3.68%
2021-09-27,66.3,4.16%
2021-09-13,61.15,3.21%
2021-08-30,60.13,-1.46%
2021-08-16,59.89,-7.60%
2021-08-02,65.16,1.00%
2021-07-19,64.5,4.95%
2021-07-05,62.47,-4.38%
2021-06-21,66.65,0.90%
2021-06-07,68.33,0.24%
2021-05-24,65.68,1.47%
2021-05-10,63.37,0.74%
2021-04-26,63.46,0.47%
2021-04-12,66.32,3.31%
2021-03-29,63.42,2.83%
2021-03-15,62.1,4.33%
2021-03-01,59.11,5.99%
2021-02-15,56.58,3.96%
2021-02-01,56.39,15.26%
2021-01-18,49.72,4.99%
2021-01-04,48.56,-0.17%
2020-12-21,49.26,-0.26%
2020-12-07,46.73,-4.64%
2020-11-23,47.64,1.93%
2020-11-09,44.19,8.98%
2020-10-26,37.37,-8.26%
2020-10-12,41.58,2.53%
2020-09-28,39.35,5.81%
2020-09-14,38.28,-2.29%
2020-08-31,36.6,1.40%
2020-08-17,34.63,-2.67%
2020-08-03,34.18,8.56%
2020-07-20,33.63,1.56%
2020-07-06,30.12,0.03%
2020-06-22,28.76,-4.76%
2020-06-08,29.59,-9.55%
2020-05-25,27.42,6.51%
2020-05-11,23.0,-11.53%
2020-04-27,25.9,14.42%
2020-04-13,23.85,-2.68%
2020-03-30,19.43,-9.85%
2020-03-16,17.97,-11.60%
2020-03-02,27.62,-7.14%
2020-02-17,33.75,-1.09%
2020-02-03,33.98,2.58%
2020-01-20,34.82,-5.89%
2020-01-06,39.17,0.73%
2019-12-23,39.49,-0.26%
2019-12-09,40.12,2.38%
2019-11-25,40.57,-1.60%
