Date,Close Price,Percentage Change
2023-11-20,504.09,2.25%
2023-11-06,483.35,7.40%
2023-10-23,405.0,-2.14%
2023-10-09,454.61,-0.66%
2023-09-25,434.99,4.54%
2023-09-11,439.0,-3.66%
2023-08-28,485.05,5.41%
2023-08-14,432.95,5.98%
2023-07-31,446.76,-4.43%
2023-07-17,443.05,-2.55%
2023-07-03,424.99,0.48%
2023-06-19,422.06,-1.13%
2023-06-05,387.63,-1.42%
2023-05-22,389.39,24.57%
2023-05-08,283.35,-1.19%
2023-04-24,277.44,2.32%
2023-04-10,267.53,-1.03%
2023-03-27,277.72,3.73%
2023-03-13,257.2,12.04%
2023-02-27,238.82,2.59%
2023-02-13,213.8,0.58%
2023-01-30,210.92,3.61%
2023-01-16,178.33,5.56%
2023-01-02,148.54,1.68%
2022-12-19,152.01,-8.24%
2022-12-05,169.95,0.77%
2022-11-21,162.6,5.59%
2022-11-07,163.17,15.34%
2022-10-24,138.26,10.97%
2022-10-10,112.2,-7.03%
2022-09-26,121.32,-3.01%
2022-09-12,131.9,-8.24%
2022-08-29,136.35,-16.07%
2022-08-15,178.33,-4.60%
2022-08-01,189.72,4.55%
2022-07-18,173.03,9.88%
2022-07-04,158.24,9.05%
2022-06-20,171.1,7.85%
2022-06-06,169.55,-9.33%
2022-05-23,187.9,12.68%
2022-05-09,176.86,-5.19%
2022-04-25,185.26,-4.96%
2022-04-11,212.34,-8.05%
2022-03-28,266.82,-3.54%
2022-03-14,264.23,19.70%
2022-02-28,229.06,-5.05%
2022-02-14,236.12,-1.28%
2022-01-31,242.88,6.48%
2022-01-17,233.44,-13.24%
2022-01-03,272.12,-7.36%
2021-12-20,296.02,6.61%
2021-12-06,301.59,-1.60%
2021-11-22,314.59,-4.49%
2021-11-08,303.47,2.14%
2021-10-25,255.31,12.50%
2021-10-11,218.31,4.95%
2021-09-27,207.13,-6.06%
2021-09-13,218.69,-2.57%
2021-08-30,228.07,0.91%
2021-08-16,207.83,3.11%
2021-08-02,203.34,4.45%
2021-07-19,195.27,7.69%
2021-07-05,200.18,-2.13%
2021-06-21,190.01,2.10%
2021-06-07,177.93,1.41%
2021-05-24,162.15,8.36%
2021-05-10,142.17,-3.84%
2021-04-26,149.82,-1.68%
2021-04-12,158.84,10.50%
2021-03-29,137.87,7.57%
2021-03-15,128.22,-0.05%
2021-03-01,124.35,-9.14%
2021-02-15,148.94,-0.23%
2021-02-01,135.62,4.63%
2021-01-18,136.83,6.63%
2021-01-04,132.48,1.70%
2020-12-21,129.66,-2.10%
2020-12-07,129.85,-3.99%
2020-11-23,132.29,1.33%
2020-11-09,132.64,-8.69%
2020-10-26,125.03,-7.77%
2020-10-12,137.78,0.35%
2020-09-28,130.3,1.46%
2020-09-14,121.59,0.20%
2020-08-31,125.88,-3.99%
2020-08-17,126.49,9.68%
2020-08-03,111.69,5.51%
2020-07-20,101.66,-0.07%
2020-07-06,104.5,9.02%
2020-06-22,91.3,-1.15%
2020-06-08,89.08,0.19%
2020-05-25,88.47,-1.67%
2020-05-11,84.64,8.68%
2020-04-27,70.47,-2.35%
2020-04-13,72.85,11.17%
2020-03-30,60.78,-3.49%
2020-03-16,51.27,-14.57%
2020-03-02,66.3,-1.43%
2020-02-17,73.24,1.48%
2020-02-03,62.66,6.41%
2020-01-20,62.38,0.48%
2020-01-06,60.85,3.49%
2019-12-23,58.99,-1.04%
2019-12-09,55.78,5.57%
2019-11-25,53.94,2.77%
