Date,Close Price,Percentage Change
2023-11-20,0.0,0.00%
2023-11-06,0.0,0.00%
2023-10-23,32750.0,-4.80%
2023-10-09,33200.0,-0.15%
2023-09-25,31650.0,-5.52%
2023-09-11,33000.0,0.00%
2023-08-24,0.0,0.00%
2023-08-10,35950.0,2.71%
2023-07-27,32000.0,0.79%
2023-07-13,30964.0,0.16%
2023-06-29,30916.0,5.80%
2023-06-15,30770.0,-0.31%
2023-06-01,30190.0,-2.19%
2023-05-18,31206.0,-5.01%
2023-05-04,31690.0,-1.06%
2023-04-17,32125.0,2.31%
2023-04-03,31883.0,2.65%
2023-03-20,32415.0,-4.29%
2023-03-06,33867.0,10.62%
2023-02-20,33684.0,0.14%
2023-02-06,31624.0,-7.00%
2023-01-16,33775.0,6.34%
2022-12-30,31762.0,0.00%
2022-12-16,34096.0,-0.53%
2022-12-02,31121.0,11.11%
2022-11-18,30205.0,-7.56%
2022-11-04,32723.0,3.18%
2022-10-21,28832.0,8.62%
2022-10-07,27459.0,-11.77%
2022-09-23,34462.0,0.13%
2022-09-09,34141.0,-9.69%
2022-08-24,37528.0,5.12%
2022-08-10,37842.0,6.00%
2022-07-27,33915.0,-0.91%
2022-07-13,31773.0,-3.00%
2022-06-29,34807.0,-2.38%
2022-06-15,35209.0,-5.96%
2022-06-01,37485.0,4.74%
2022-05-18,36191.0,-0.98%
2022-05-04,35878.0,0.50%
2022-04-18,36101.0,0.50%
2022-04-01,37039.0,5.87%
2022-03-18,36592.0,-4.65%
2022-03-04,37396.0,8.83%
2022-02-18,34986.0,5.09%
2022-01-28,31059.0,-1.97%
2022-01-14,31485.0,-0.55%
2021-12-30,30704.0,-10.38%
2021-12-16,32526.0,1.35%
2021-12-02,30791.0,0.00%
2021-11-18,29490.0,-7.61%
2021-11-04,28189.0,-4.41%
2021-10-21,30355.0,2.33%
2021-10-07,29663.0,6.87%
2021-09-23,24286.0,2.56%
2021-09-09,24546.0,2.91%
2021-08-24,24286.0,3.71%
2021-08-10,23418.0,0.00%
2021-07-27,23505.0,-3.90%
2021-07-13,24286.0,-1.41%
2021-06-29,24633.0,1.43%
2021-06-15,26020.0,-3.54%
2021-06-01,25500.0,1.38%
2021-05-18,26020.0,-4.77%
2021-05-04,27755.0,0.00%
2021-04-15,26194.0,-0.66%
2021-04-01,26714.0,-4.64%
2021-03-18,26888.0,-2.52%
2021-03-04,26541.0,0.33%
2021-02-18,26454.0,-4.69%
2021-01-28,26888.0,2.73%
2021-01-14,26216.0,0.64%
2020-12-30,26048.0,1.48%
2020-12-16,25627.0,-1.93%
2020-12-02,26552.0,3.95%
2020-11-18,26972.0,6.29%
2020-11-04,27308.0,1.72%
2020-10-21,26384.0,1.95%
2020-10-07,27224.0,-3.28%
2020-09-17,27392.0,1.40%
2020-09-03,26468.0,-1.56%
2020-08-13,26972.0,0.31%
2020-07-30,26888.0,1.59%
2020-07-16,26510.0,1.77%
2020-07-02,26888.0,-1.84%
2020-06-18,27728.0,4.59%
2020-06-04,26342.0,-7.52%
2020-05-21,28358.0,5.14%
2020-05-07,26888.0,-3.61%
2020-04-21,26888.0,-1.84%
2020-04-07,26888.0,-3.03%
2020-03-23,26586.0,-2.98%
2020-03-09,26097.0,-3.32%
2020-02-18,29849.0,-0.54%
2020-02-04,25281.0,-9.88%
2020-01-14,27728.0,-4.22%
2019-12-30,27647.0,-0.29%
2019-12-16,28544.0,-5.15%
2019-12-02,30175.0,5.71%
