Date,Close Price,Percentage Change
2023-11-20,16200.0,24.14%
2023-11-06,12500.0,12.11%
2023-10-23,11350.0,-0.44%
2023-10-09,11700.0,-0.85%
2023-09-25,11900.0,-1.08%
2023-09-11,12407.0,7.35%
2023-08-24,11275.0,-2.05%
2023-08-10,10567.0,-88.80%
2023-07-27,97657.0,4.55%
2023-07-13,88316.0,4.35%
2023-06-29,86806.0,-5.25%
2023-06-15,88033.0,-4.60%
2023-06-01,93505.0,17.14%
2023-05-18,79729.0,8.89%
2023-05-04,71709.0,-0.13%
2023-04-17,73596.0,0.00%
2023-04-03,69633.0,0.82%
2023-03-20,71426.0,-1.69%
2023-03-06,73125.0,-0.39%
2023-02-20,77370.0,6.49%
2023-02-06,77842.0,-3.28%
2023-01-16,77748.0,1.85%
2022-12-30,80012.0,1.56%
2022-12-16,68407.0,5.07%
2022-12-02,70200.0,15.35%
2022-11-18,61330.0,-7.80%
2022-11-04,68879.0,-9.32%
2022-10-21,75483.0,-5.88%
2022-10-07,83504.0,-9.32%
2022-09-23,99072.0,0.48%
2022-09-09,88504.0,-5.25%
2022-08-24,96713.0,-1.42%
2022-08-10,97668.0,0.00%
2022-07-27,91564.0,-2.33%
2022-07-13,85721.0,2.61%
2022-06-29,87204.0,8.11%
2022-06-15,88076.0,763.32%
2022-06-01,10420.0,-89.47%
2022-05-18,99412.0,882.82%
2022-05-04,11336.0,2.76%
2022-04-18,12688.0,-5.52%
2022-04-01,14824.0,-3.41%
2022-03-18,1491.0,-90.39%
2022-03-04,14737.0,1.68%
2022-02-18,13633.0,3.42%
2022-01-28,12814.0,-6.01%
2022-01-14,14165.0,-6.49%
2021-12-30,15475.0,-6.90%
2021-12-16,14738.0,1.13%
2021-12-02,15475.0,2.71%
2021-11-18,14493.0,-5.85%
2021-11-04,14247.0,12.99%
2021-10-21,12282.0,15.39%
2021-10-07,10726.0,0.00%
2021-09-23,10071.0,-89.02%
2021-09-09,85157.0,-7.96%
2021-08-24,93345.0,5.56%
2021-08-10,82700.0,-2.89%
2021-07-27,85265.0,-9.09%
2021-07-13,88107.0,-2.36%
2021-06-29,91660.0,5.74%
2021-06-15,94502.0,16.67%
2021-06-01,76028.0,-2.73%
2021-05-18,79580.0,-1.76%
2021-05-04,82423.0,-6.45%
2021-04-15,85265.0,13.21%
2021-04-01,77449.0,3.81%
2021-03-18,76738.0,18.68%
2021-03-04,66080.0,12.05%
2021-02-18,56843.0,-22.33%
2021-01-28,77449.0,12.37%
2021-01-14,68922.0,5.43%
2020-12-30,64659.0,1.11%
2020-12-16,63948.0,12.50%
2020-12-02,57554.0,1.25%
2020-11-18,57554.0,0.00%
2020-11-04,56133.0,0.00%
2020-10-21,58264.0,5.13%
2020-10-07,55422.0,14.70%
2020-09-17,47606.0,-4.29%
2020-09-03,47606.0,4.69%
2020-08-13,42632.0,5.26%
2020-07-30,46895.0,0.00%
2020-07-16,47606.0,3.08%
2020-07-02,51869.0,1.39%
2020-06-18,54711.0,4.05%
2020-06-04,53290.0,7.14%
2020-05-21,52580.0,5.71%
2020-05-07,51869.0,10.61%
2020-04-21,46895.0,1.54%
2020-04-07,50448.0,-4.05%
2020-03-23,50448.0,-6.58%
2020-03-09,60396.0,3.66%
2020-02-18,49738.0,7.69%
2020-02-04,46185.0,6.56%
2020-01-14,38369.0,-5.26%
2019-12-30,39790.0,1.82%
2019-12-16,39079.0,-1.79%
2019-12-02,41211.0,-1.70%
