Date,Close Price,Percentage Change
2023-11-20,13900.0,-0.36%
2023-11-06,13900.0,4.91%
2023-10-23,14300.0,-1.72%
2023-10-09,14750.0,-1.34%
2023-09-25,14600.0,-6.71%
2023-09-11,15900.0,-0.63%
2023-08-24,15500.0,-6.06%
2023-08-10,15950.0,-0.93%
2023-07-27,15600.0,-0.64%
2023-07-13,16000.0,2.56%
2023-06-29,15700.0,0.96%
2023-06-15,14686.0,-2.07%
2023-06-01,14413.0,3.64%
2023-05-18,13946.0,-0.56%
2023-05-04,13751.0,-3.02%
2023-04-17,14569.0,4.47%
2023-04-03,13751.0,8.28%
2023-03-20,12543.0,-7.21%
2023-03-06,12309.0,1.28%
2023-02-20,13556.0,6.42%
2023-02-06,13868.0,-2.19%
2023-01-16,13985.0,8.13%
2022-12-30,12699.0,-1.81%
2022-12-16,13439.0,1.17%
2022-12-02,12972.0,9.54%
2022-11-18,11063.0,-3.72%
2022-11-04,13868.0,-12.31%
2022-10-21,16127.0,-8.41%
2022-10-07,16088.0,-4.40%
2022-09-23,17491.0,-0.66%
2022-09-09,18309.0,-9.09%
2022-08-24,19127.0,11.34%
2022-08-10,1768.0,-89.75%
2022-07-27,16711.0,15.26%
2022-07-13,14763.0,18.63%
2022-06-29,13174.0,6.99%
2022-06-15,12545.0,-13.67%
2022-06-01,14763.0,1.60%
2022-05-18,12512.0,-11.68%
2022-05-04,17709.0,6.37%
2022-04-18,20357.0,-11.12%
2022-04-01,24163.0,-3.19%
2022-03-18,22111.0,-2.48%
2022-03-04,23137.0,-4.25%
2022-02-18,21879.0,7.30%
2022-01-28,18801.0,0.71%
2022-01-14,19066.0,-2.70%
2021-12-30,18073.0,-9.90%
2021-12-16,21184.0,-0.62%
2021-12-02,20390.0,14.50%
2021-11-18,18966.0,10.19%
2021-11-04,15689.0,-5.01%
2021-10-21,15789.0,3.03%
2021-10-07,13770.0,7.49%
2021-09-23,13803.0,0.00%
2021-09-09,14531.0,-3.73%
2021-08-24,13670.0,-4.40%
2021-08-10,14994.0,13.25%
2021-07-27,12743.0,2.39%
2021-07-13,13240.0,-18.03%
2021-06-29,15557.0,-4.86%
2021-06-15,16484.0,9.21%
2021-06-01,16782.0,2.03%
2021-05-18,14411.0,2.16%
2021-05-04,13240.0,5.26%
2021-04-15,11407.0,-0.22%
2021-04-01,10948.0,-0.70%
2021-03-18,11814.0,1.76%
2021-03-04,10897.0,-89.08%
2021-02-18,10337.0,-89.32%
2021-01-28,91155.0,773.22%
2021-01-14,10643.0,1.70%
2020-12-30,94465.0,-4.13%
2020-12-16,92428.0,-1.09%
2020-12-02,92682.0,0.00%
2020-11-18,90136.0,15.31%
2020-11-04,79187.0,10.28%
2020-10-21,73331.0,-6.49%
2020-10-07,73840.0,10.27%
2020-09-17,64165.0,-2.32%
2020-09-03,66711.0,2.75%
2020-08-13,62637.0,0.00%
2020-07-30,59581.0,-13.65%
2020-07-16,69257.0,-1.45%
2020-07-02,65183.0,9.40%
2020-06-18,59581.0,-1.27%
2020-06-04,59072.0,0.00%
2020-05-21,60600.0,5.31%
2020-05-07,58818.0,13.24%
2020-04-21,50670.0,-6.73%
2020-04-07,50321.0,14.37%
2020-03-23,44532.0,-8.68%
2020-03-09,52770.0,-1.25%
2020-02-18,61454.0,-1.78%
2020-02-04,59896.0,-5.94%
2020-01-14,63904.0,-5.59%
2019-12-30,73478.0,-4.62%
2019-12-16,79267.0,-4.30%
2019-12-02,77486.0,-0.85%
