Date,Close Price,Percentage Change
2023-11-20,21700.0,0.93%
2023-11-06,20000.0,16.28%
2023-10-23,17700.0,-5.85%
2023-10-09,19350.0,-3.73%
2023-09-25,20050.0,-8.03%
2023-09-11,21300.0,6.50%
2023-08-24,18750.0,-6.25%
2023-08-10,18800.0,0.53%
2023-07-27,18750.0,6.84%
2023-07-13,17500.0,6.71%
2023-06-29,16400.0,-2.92%
2023-06-15,16067.0,1.22%
2023-06-01,14757.0,-1.93%
2023-05-18,15000.0,-4.04%
2023-05-04,15048.0,6.17%
2023-04-17,15145.0,0.00%
2023-04-03,15728.0,-0.91%
2023-03-20,15242.0,-3.09%
2023-03-06,14902.0,6.60%
2023-02-20,15728.0,12.50%
2023-02-06,14126.0,-2.67%
2023-01-16,13300.0,9.60%
2022-12-30,11213.0,-2.12%
2022-12-16,13106.0,4.25%
2022-12-02,11941.0,-87.53%
2022-11-18,87281.0,10.99%
2022-11-04,10776.0,-9.39%
2022-10-21,12135.0,-11.66%
2022-10-07,11456.0,-20.27%
2022-09-23,15728.0,-5.81%
2022-09-09,17394.0,3.36%
2022-08-24,17273.0,0.95%
2022-08-10,16909.0,6.90%
2022-07-27,13349.0,-8.34%
2022-07-13,14482.0,4.37%
2022-06-29,13956.0,14.24%
2022-06-15,14118.0,-16.90%
2022-06-01,18284.0,6.60%
2022-05-18,17313.0,-12.66%
2022-05-04,21318.0,-6.23%
2022-04-18,25161.0,-5.33%
2022-04-01,28923.0,-5.55%
2022-03-18,30622.0,854.85%
2022-03-04,33009.0,13.81%
2022-02-18,30137.0,0.40%
2022-01-28,24555.0,-6.03%
2022-01-14,28681.0,0.28%
2021-12-30,29854.0,5.13%
2021-12-16,30056.0,4.79%
2021-12-02,31877.0,1.03%
2021-11-18,32281.0,-8.28%
2021-11-04,37055.0,-4.58%
2021-10-21,39967.0,1.96%
2021-10-07,38511.0,2.37%
2021-09-23,37621.0,-1.06%
2021-09-09,36326.0,12.53%
2021-08-24,3042.0,-90.55%
2021-08-10,31351.0,4.73%
2021-07-27,28883.0,0.85%
2021-07-13,27467.0,-12.27%
2021-06-29,33980.0,0.48%
2021-06-15,33859.0,8.96%
2021-06-01,31994.0,8.21%
2021-05-18,28280.0,1.85%
2021-05-04,24713.0,11.45%
2021-04-15,23205.0,6.77%
2021-04-01,21329.0,6.23%
2021-03-18,21109.0,0.88%
2021-03-04,20373.0,7.36%
2021-02-18,18314.0,4.19%
2021-01-28,16070.0,-16.77%
2021-01-14,18424.0,3.94%
2020-12-30,15997.0,-2.46%
2020-12-16,15408.0,3.97%
2020-12-02,13202.0,-0.83%
2020-11-18,14011.0,7.02%
2020-11-04,12099.0,10.04%
2020-10-21,11179.0,0.66%
2020-10-07,11621.0,5.69%
2020-09-17,98926.0,13.50%
2020-09-03,87893.0,3.91%
2020-08-13,83848.0,6.54%
2020-07-30,73036.0,-9.73%
2020-07-16,84583.0,-1.71%
2020-07-02,86422.0,-4.47%
2020-06-18,83480.0,10.19%
2020-06-04,72962.0,-2.27%
2020-05-21,68181.0,2.32%
2020-05-07,58325.0,7.89%
2020-04-21,43710.0,3.31%
2020-04-07,39017.0,19.79%
2020-03-23,37966.0,-9.67%
2020-03-09,49524.0,-6.85%
2020-02-18,57019.0,3.83%
2020-02-04,55688.0,-7.02%
2020-01-14,56739.0,2.14%
2019-12-30,55688.0,-2.57%
2019-12-16,58980.0,0.24%
2019-12-02,54988.0,-4.03%
