Date,Close Price,Percentage Change
2023-11-20,32400.0,3.02%
2023-11-06,29000.0,5.45%
2023-10-23,30600.0,-4.67%
2023-10-09,33200.0,3.43%
2023-09-25,30350.0,-14.99%
2023-09-11,33500.0,0.30%
2023-08-24,32000.0,6.84%
2023-08-10,28100.0,-1.40%
2023-07-27,29450.0,5.18%
2023-07-13,28400.0,7.98%
2023-06-29,25450.0,-2.49%
2023-06-15,24726.0,5.76%
2023-06-01,22561.0,4.22%
2023-05-18,21936.0,1.79%
2023-05-04,20926.0,1.17%
2023-04-17,20541.0,-4.69%
2023-04-03,21166.0,4.76%
2023-03-20,18761.0,-0.76%
2023-03-06,18039.0,2.74%
2023-02-20,19964.0,12.16%
2023-02-06,19242.0,-4.76%
2023-01-16,18665.0,2.11%
2022-12-30,17029.0,-3.28%
2022-12-16,19723.0,1.24%
2022-12-02,18713.0,13.74%
2022-11-18,15634.0,15.25%
2022-11-04,14768.0,-3.46%
2022-10-21,15586.0,-9.49%
2022-10-07,16163.0,-15.15%
2022-09-23,19867.0,-2.36%
2022-09-09,21359.0,-7.50%
2022-08-24,24293.0,2.85%
2022-08-10,23620.0,4.26%
2022-07-27,19627.0,-4.23%
2022-07-13,19915.0,8.94%
2022-06-29,19001.0,11.58%
2022-06-15,19688.0,-22.70%
2022-06-01,25686.0,2.60%
2022-05-18,24903.0,3.43%
2022-05-04,27815.0,-4.62%
2022-04-18,32596.0,-12.79%
2022-04-01,37290.0,-1.27%
2022-03-18,38072.0,-2.67%
2022-03-04,40506.0,1.97%
2022-02-18,39289.0,0.22%
2022-01-28,39159.0,1.12%
2022-01-14,42331.0,-5.62%
2021-12-30,45721.0,7.35%
2021-12-16,44244.0,-5.39%
2021-12-02,46938.0,-1.82%
2021-11-18,42636.0,11.10%
2021-11-04,37377.0,5.39%
2021-10-21,34508.0,-3.17%
2021-10-07,35378.0,0.12%
2021-09-23,36421.0,-1.41%
2021-09-09,38203.0,3.81%
2021-08-24,36443.0,-0.16%
2021-08-10,35371.0,5.13%
2021-07-27,30965.0,-1.33%
2021-07-13,30846.0,-1.52%
2021-06-29,32513.0,10.30%
2021-06-15,30965.0,20.46%
2021-06-01,25531.0,6.85%
2021-05-18,20594.0,3.03%
2021-05-04,19221.0,-0.31%
2021-04-15,20361.0,-0.99%
2021-04-01,19835.0,10.23%
2021-03-18,19455.0,-1.92%
2021-03-04,19543.0,0.00%
2021-02-18,19455.0,12.12%
2021-01-28,16212.0,-19.68%
2021-01-14,20653.0,2.76%
2020-12-30,18403.0,9.37%
2020-12-16,14635.0,10.35%
2020-12-02,11509.0,2.60%
2020-11-18,10750.0,5.14%
2020-11-04,10224.0,4.80%
2020-10-21,10341.0,-2.20%
2020-10-07,10428.0,7.85%
2020-09-17,9347.0,0.94%
2020-09-03,8909.0,6.27%
2020-08-13,8676.0,3.50%
2020-07-30,8033.0,-7.72%
2020-07-16,9117.0,4.73%
2020-07-02,8321.0,-4.11%
2020-06-18,8238.0,0.66%
2020-06-04,8623.0,5.73%
2020-05-21,7881.0,0.70%
2020-05-07,7250.0,1.94%
2020-04-21,7058.0,-2.65%
2020-04-07,6700.0,23.05%
2020-03-23,6108.0,-3.00%
2020-03-09,7362.0,-1.59%
2020-02-18,8309.0,0.57%
2020-02-04,8049.0,-11.69%
2020-01-14,8712.0,0.82%
2019-12-30,8594.0,-1.08%
2019-12-16,9020.0,-2.80%
2019-12-02,9233.0,-4.41%
