Date,Close Price,Percentage Change
2023-11-20,19500.0,1.56%
2023-11-06,19825.0,4.52%
2023-10-23,20064.0,-6.44%
2023-10-09,20397.0,-1.83%
2023-09-25,19444.0,-7.90%
2023-09-11,20874.0,4.54%
2023-08-24,19539.0,-7.45%
2023-08-10,20921.0,1.15%
2023-07-27,20731.0,3.57%
2023-07-13,19015.0,2.04%
2023-06-29,18967.0,1.53%
2023-06-15,18777.0,1.03%
2023-06-01,18491.0,1.04%
2023-05-18,18348.0,-2.78%
2023-05-04,18634.0,0.26%
2023-04-17,19492.0,-2.15%
2023-04-03,20207.0,-0.23%
2023-03-20,18777.0,1.55%
2023-03-06,16299.0,0.59%
2023-02-20,17442.0,7.65%
2023-02-06,17633.0,-3.90%
2023-01-16,18491.0,2.92%
2022-12-30,17061.0,-2.45%
2022-12-16,17633.0,9.47%
2022-12-02,16489.0,11.61%
2022-11-18,14774.0,-4.90%
2022-11-04,16156.0,3.67%
2022-10-21,14821.0,-3.72%
2022-10-07,14631.0,-14.72%
2022-09-23,18268.0,-5.89%
2022-09-09,19380.0,-4.09%
2022-08-24,19952.0,4.14%
2022-08-10,19126.0,938.33%
2022-07-27,17601.0,-1.60%
2022-07-13,17633.0,-3.64%
2022-06-29,19063.0,5.64%
2022-06-15,18332.0,-9.28%
2022-06-01,19603.0,-2.06%
2022-05-18,19666.0,-7.34%
2022-05-04,22748.0,4.53%
2022-04-18,23288.0,-5.54%
2022-04-01,24528.0,5.04%
2022-03-18,23034.0,-0.42%
2022-03-04,24210.0,-0.26%
2022-02-18,22812.0,-1.91%
2022-01-28,23288.0,6.85%
2022-01-14,22145.0,0.72%
2021-12-30,22494.0,9.26%
2021-12-16,21414.0,-5.34%
2021-12-02,23511.0,-2.63%
2021-11-18,22494.0,-3.01%
2021-11-04,24146.0,-1.56%
2021-10-21,23860.0,1.62%
2021-10-07,22653.0,-2.63%
2021-09-23,23652.0,3.08%
2021-09-09,22381.0,2.92%
2021-08-24,21534.0,-6.30%
2021-08-10,21358.0,-0.49%
2021-07-27,20122.0,-5.94%
2021-07-13,22593.0,-9.86%
2021-06-29,23617.0,1.36%
2021-06-15,23476.0,-6.99%
2021-06-01,24464.0,3.74%
2021-05-18,23723.0,6.67%
2021-05-04,21005.0,16.67%
2021-04-15,17651.0,7.07%
2021-04-01,16203.0,6.12%
2021-03-18,16186.0,4.80%
2021-03-04,14650.0,4.80%
2021-02-18,14580.0,12.85%
2021-01-28,10467.0,-18.09%
2021-01-14,12991.0,5.45%
2020-12-30,11226.0,-0.62%
2020-12-16,10343.0,2.99%
2020-12-02,97788.0,3.75%
2020-11-18,87903.0,4.84%
2020-11-04,85432.0,4.31%
2020-10-21,88609.0,4.58%
2020-10-07,83843.0,1.28%
2020-09-17,80666.0,0.22%
2020-09-03,83667.0,11.01%
2020-08-13,76783.0,1.87%
2020-07-30,71664.0,-9.78%
2020-07-16,79784.0,-1.09%
2020-07-02,75724.0,875.07%
2020-06-18,78724.0,-3.46%
2020-06-04,84726.0,3.90%
2020-05-21,87197.0,4.44%
2020-05-07,75547.0,1.90%
2020-04-21,69016.0,-8.22%
2020-04-07,68663.0,6.87%
2020-03-23,69193.0,-6.44%
2020-03-09,90374.0,-4.83%
2020-02-18,96729.0,7.87%
2020-02-04,82784.0,-0.42%
2020-01-14,74665.0,3.93%
2019-12-30,69899.0,2.33%
2019-12-16,69193.0,1.03%
2019-12-02,68840.0,-2.50%
